"","time","WORLD_OIL","iis21","sis48","sis51"
"1",2012-07-01,250.3303297141,0,1,1
"2",2012-10-01,193.362980319272,0,1,1
"3",2013-01-01,150.507711479962,0,1,1
"4",2013-04-01,109.658344904043,0,1,1
"5",2013-07-01,57.3081611029636,0,1,1
"6",2013-10-01,-1.49752481878929,0,1,1
"7",2014-01-01,-57.1444722655747,0,1,1
"8",2014-04-01,-113.639049727192,0,1,1
"9",2014-07-01,-180.022075608692,0,1,1
"10",2014-10-01,-251.820408822003,0,1,1
"11",2015-01-01,-321.170489681761,0,1,1
"12",2015-04-01,-392.736669348001,0,1,1
"13",2015-07-01,-475.336874607582,0,1,1
"14",2015-10-01,-564.225195382535,0,1,1
"15",2016-01-01,-651.529949747804,0,1,1
"16",2016-04-01,-742.047944909966,0,1,1
"17",2016-07-01,-844.711392832249,0,1,1
"18",2016-10-01,-954.837718261339,0,1,1
"19",2017-01-01,-1064.6040777852,0,1,1
"20",2017-04-01,-1178.86918999568,0,1,1
"21",2017-07-01,-1306.64133326843,0,1,1
"22",2017-10-01,-1443.31992751805,0,1,1
"23",2018-01-01,-1581.16612503974,0,1,1
"24",2018-04-01,-1725.12571590432,0,1,1
"25",2018-07-01,-1884.29912626804,0,1,1
"26",2018-10-01,-2054.18382080739,0,1,1
"27",2019-01-01,-2227.14488580672,0,1,1
"28",2019-04-01,-2408.2379422875,0,1,1
"29",2019-07-01,-2606.67944321557,0,1,1
"30",2019-10-01,-2818.08952070567,0,1,1
"31",2020-01-01,-3034.96300460683,0,1,1
"32",2020-04-01,-3262.49273847402,0,1,1
"33",2020-07-01,-3510.0402874901,0,1,1
"34",2020-10-01,-3773.37923162795,0,1,1
"35",2021-01-01,-4045.16666613178,0,1,1
"36",2021-04-01,-4330.76702806448,0,1,1
"37",2021-07-01,-4639.72334127128,0,1,1
"38",2021-10-01,-4968.00107581043,0,1,1
"39",2022-01-01,-5308.46024743086,0,1,1
"40",2022-04-01,-5666.67987816198,0,1,1
"41",2022-07-01,-6052.42991199232,0,1,1
"42",2022-10-01,-6461.91578347615,0,1,1
"43",2023-01-01,-6888.25126703658,0,1,1
"44",2023-04-01,-7337.28373046095,0,1,1
"45",2023-07-01,-7819.0668890917,0,1,1
"46",2023-10-01,-8330.10626116612,0,1,1
"47",2024-01-01,-8863.8329548261,0,1,1
"48",2024-04-01,-9426.42991321715,0,1,1
