"08792: External trade in goods, main figures (NOK million), by trade flow, month and contents"

"trade flow";"month";"Value"
"Exports of ships and oil platforms";"1980M01";664
"Exports of ships and oil platforms";"1980M02";184
"Exports of ships and oil platforms";"1980M03";168
"Exports of ships and oil platforms";"1980M04";462
"Exports of ships and oil platforms";"1980M05";138
"Exports of ships and oil platforms";"1980M06";161
"Exports of ships and oil platforms";"1980M07";215
"Exports of ships and oil platforms";"1980M08";290
"Exports of ships and oil platforms";"1980M09";316
"Exports of ships and oil platforms";"1980M10";306
"Exports of ships and oil platforms";"1980M11";87
"Exports of ships and oil platforms";"1980M12";835
"Exports of ships and oil platforms";"1981M01";449
"Exports of ships and oil platforms";"1981M02";188
"Exports of ships and oil platforms";"1981M03";555
"Exports of ships and oil platforms";"1981M04";532
"Exports of ships and oil platforms";"1981M05";205
"Exports of ships and oil platforms";"1981M06";812
"Exports of ships and oil platforms";"1981M07";147
"Exports of ships and oil platforms";"1981M08";437
"Exports of ships and oil platforms";"1981M09";277
"Exports of ships and oil platforms";"1981M10";315
"Exports of ships and oil platforms";"1981M11";711
"Exports of ships and oil platforms";"1981M12";144
"Exports of ships and oil platforms";"1982M01";241
"Exports of ships and oil platforms";"1982M02";248
"Exports of ships and oil platforms";"1982M03";884
"Exports of ships and oil platforms";"1982M04";1047
"Exports of ships and oil platforms";"1982M05";289
"Exports of ships and oil platforms";"1982M06";641
"Exports of ships and oil platforms";"1982M07";1034
"Exports of ships and oil platforms";"1982M08";130
"Exports of ships and oil platforms";"1982M09";977
"Exports of ships and oil platforms";"1982M10";568
"Exports of ships and oil platforms";"1982M11";996
"Exports of ships and oil platforms";"1982M12";435
"Exports of ships and oil platforms";"1983M01";675
"Exports of ships and oil platforms";"1983M02";256
"Exports of ships and oil platforms";"1983M03";513
"Exports of ships and oil platforms";"1983M04";531
"Exports of ships and oil platforms";"1983M05";789
"Exports of ships and oil platforms";"1983M06";475
"Exports of ships and oil platforms";"1983M07";1057
"Exports of ships and oil platforms";"1983M08";664
"Exports of ships and oil platforms";"1983M09";199
"Exports of ships and oil platforms";"1983M10";1377
"Exports of ships and oil platforms";"1983M11";219
"Exports of ships and oil platforms";"1983M12";1204
"Exports of ships and oil platforms";"1984M01";1168
"Exports of ships and oil platforms";"1984M02";302
"Exports of ships and oil platforms";"1984M03";411
"Exports of ships and oil platforms";"1984M04";256
"Exports of ships and oil platforms";"1984M05";511
"Exports of ships and oil platforms";"1984M06";519
"Exports of ships and oil platforms";"1984M07";996
"Exports of ships and oil platforms";"1984M08";618
"Exports of ships and oil platforms";"1984M09";315
"Exports of ships and oil platforms";"1984M10";515
"Exports of ships and oil platforms";"1984M11";398
"Exports of ships and oil platforms";"1984M12";304
"Exports of ships and oil platforms";"1985M01";197
"Exports of ships and oil platforms";"1985M02";844
"Exports of ships and oil platforms";"1985M03";783
"Exports of ships and oil platforms";"1985M04";1065
"Exports of ships and oil platforms";"1985M05";452
"Exports of ships and oil platforms";"1985M06";620
"Exports of ships and oil platforms";"1985M07";664
"Exports of ships and oil platforms";"1985M08";598
"Exports of ships and oil platforms";"1985M09";981
"Exports of ships and oil platforms";"1985M10";2316
"Exports of ships and oil platforms";"1985M11";875
"Exports of ships and oil platforms";"1985M12";1939
"Exports of ships and oil platforms";"1986M01";982
"Exports of ships and oil platforms";"1986M02";1188
"Exports of ships and oil platforms";"1986M03";1132
"Exports of ships and oil platforms";"1986M04";691
"Exports of ships and oil platforms";"1986M05";324
"Exports of ships and oil platforms";"1986M06";952
"Exports of ships and oil platforms";"1986M07";270
"Exports of ships and oil platforms";"1986M08";973
"Exports of ships and oil platforms";"1986M09";843
"Exports of ships and oil platforms";"1986M10";1483
"Exports of ships and oil platforms";"1986M11";973
"Exports of ships and oil platforms";"1986M12";1588
"Exports of ships and oil platforms";"1987M01";616
"Exports of ships and oil platforms";"1987M02";2622
"Exports of ships and oil platforms";"1987M03";1383
"Exports of ships and oil platforms";"1987M04";2325
"Exports of ships and oil platforms";"1987M05";523
"Exports of ships and oil platforms";"1987M06";782
"Exports of ships and oil platforms";"1987M07";590
"Exports of ships and oil platforms";"1987M08";145
"Exports of ships and oil platforms";"1987M09";208
"Exports of ships and oil platforms";"1987M10";61
"Exports of ships and oil platforms";"1987M11";206
"Exports of ships and oil platforms";"1987M12";629
"Exports of ships and oil platforms";"1988M01";358
"Exports of ships and oil platforms";"1988M02";265
"Exports of ships and oil platforms";"1988M03";283
"Exports of ships and oil platforms";"1988M04";264
"Exports of ships and oil platforms";"1988M05";425
"Exports of ships and oil platforms";"1988M06";142
"Exports of ships and oil platforms";"1988M07";405
"Exports of ships and oil platforms";"1988M08";662
"Exports of ships and oil platforms";"1988M09";180
"Exports of ships and oil platforms";"1988M10";1852
"Exports of ships and oil platforms";"1988M11";312
"Exports of ships and oil platforms";"1988M12";555
"Exports of ships and oil platforms";"1989M01";414
"Exports of ships and oil platforms";"1989M02";273
"Exports of ships and oil platforms";"1989M03";805
"Exports of ships and oil platforms";"1989M04";380
"Exports of ships and oil platforms";"1989M05";648
"Exports of ships and oil platforms";"1989M06";251
"Exports of ships and oil platforms";"1989M07";938
"Exports of ships and oil platforms";"1989M08";1019
"Exports of ships and oil platforms";"1989M09";234
"Exports of ships and oil platforms";"1989M10";281
"Exports of ships and oil platforms";"1989M11";669
"Exports of ships and oil platforms";"1989M12";511
"Exports of ships and oil platforms";"1990M01";919
"Exports of ships and oil platforms";"1990M02";523
"Exports of ships and oil platforms";"1990M03";808
"Exports of ships and oil platforms";"1990M04";948
"Exports of ships and oil platforms";"1990M05";563
"Exports of ships and oil platforms";"1990M06";1997
"Exports of ships and oil platforms";"1990M07";1345
"Exports of ships and oil platforms";"1990M08";741
"Exports of ships and oil platforms";"1990M09";305
"Exports of ships and oil platforms";"1990M10";963
"Exports of ships and oil platforms";"1990M11";42
"Exports of ships and oil platforms";"1990M12";1332
"Exports of ships and oil platforms";"1991M01";378
"Exports of ships and oil platforms";"1991M02";849
"Exports of ships and oil platforms";"1991M03";627
"Exports of ships and oil platforms";"1991M04";1941
"Exports of ships and oil platforms";"1991M05";978
"Exports of ships and oil platforms";"1991M06";1157
"Exports of ships and oil platforms";"1991M07";1520
"Exports of ships and oil platforms";"1991M08";732
"Exports of ships and oil platforms";"1991M09";2098
"Exports of ships and oil platforms";"1991M10";799
"Exports of ships and oil platforms";"1991M11";712
"Exports of ships and oil platforms";"1991M12";2257
"Exports of ships and oil platforms";"1992M01";1863
"Exports of ships and oil platforms";"1992M02";1053
"Exports of ships and oil platforms";"1992M03";2506
"Exports of ships and oil platforms";"1992M04";841
"Exports of ships and oil platforms";"1992M05";678
"Exports of ships and oil platforms";"1992M06";874
"Exports of ships and oil platforms";"1992M07";869
"Exports of ships and oil platforms";"1992M08";205
"Exports of ships and oil platforms";"1992M09";683
"Exports of ships and oil platforms";"1992M10";648
"Exports of ships and oil platforms";"1992M11";957
"Exports of ships and oil platforms";"1992M12";1926
"Exports of ships and oil platforms";"1993M01";878
"Exports of ships and oil platforms";"1993M02";778
"Exports of ships and oil platforms";"1993M03";548
"Exports of ships and oil platforms";"1993M04";1626
"Exports of ships and oil platforms";"1993M05";887
"Exports of ships and oil platforms";"1993M06";1169
"Exports of ships and oil platforms";"1993M07";601
"Exports of ships and oil platforms";"1993M08";869
"Exports of ships and oil platforms";"1993M09";757
"Exports of ships and oil platforms";"1993M10";771
"Exports of ships and oil platforms";"1993M11";673
"Exports of ships and oil platforms";"1993M12";537
"Exports of ships and oil platforms";"1994M01";432
"Exports of ships and oil platforms";"1994M02";1061
"Exports of ships and oil platforms";"1994M03";353
"Exports of ships and oil platforms";"1994M04";873
"Exports of ships and oil platforms";"1994M05";454
"Exports of ships and oil platforms";"1994M06";316
"Exports of ships and oil platforms";"1994M07";891
"Exports of ships and oil platforms";"1994M08";472
"Exports of ships and oil platforms";"1994M09";660
"Exports of ships and oil platforms";"1994M10";342
"Exports of ships and oil platforms";"1994M11";1017
"Exports of ships and oil platforms";"1994M12";2503
"Exports of ships and oil platforms";"1995M01";511
"Exports of ships and oil platforms";"1995M02";357
"Exports of ships and oil platforms";"1995M03";1006
"Exports of ships and oil platforms";"1995M04";140
