unit,s_adj,na_item,geo,time,values,nace_r2,p_adj,cpa2_1
CLV05_MEUR,SCA,GCapitalForm,AT,2022-04-01,19821,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2022-01-01,20149.6,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2021-10-01,19893.7,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2021-07-01,18878.3,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2021-04-01,20670.5,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2021-01-01,21011.1,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2020-10-01,18986,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2020-07-01,17936.7,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2020-04-01,16945.1,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2020-01-01,18425.4,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2019-10-01,17965.4,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2019-07-01,19130.4,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2019-04-01,19466.4,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2019-01-01,19212.3,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2018-10-01,19826.2,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2018-07-01,19528.7,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2018-04-01,18457.8,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2018-01-01,18379.7,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2017-10-01,18279.3,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2017-07-01,18221.3,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2017-04-01,17720.5,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2017-01-01,17769.2,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2016-10-01,17693.7,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2016-07-01,16869.7,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2016-04-01,17426.6,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2016-01-01,17115.3,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2015-10-01,17306.5,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2015-07-01,17108.2,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2015-04-01,16178.5,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2015-01-01,15451.5,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2014-10-01,15736.6,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2014-07-01,15827.8,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2014-04-01,16257.2,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2014-01-01,16143.6,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2013-10-01,16520,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2013-07-01,16068.6,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2013-04-01,15713.4,NA,NA,NA
CLV05_MEUR,SCA,GCapitalForm,AT,2013-01-01,14990.9,NA,NA,NA
