index,time,household_and_npish_final_consumption_expenditure,cp.fitted.level
1,1995-01-01,23535.2,NA
2,1995-04-01,25756.9,NA
3,1995-07-01,25173,NA
4,1995-10-01,26839.1,NA
5,1996-01-01,24825.7,NA
6,1996-04-01,26580.3,NA
7,1996-07-01,25681.1,NA
8,1996-10-01,26674.7,NA
9,1997-01-01,24422.5,NA
10,1997-04-01,25887.7,NA
11,1997-07-01,25478.9,NA
12,1997-10-01,27083,NA
13,1998-01-01,24974.6,NA
14,1998-04-01,26464.3,NA
15,1998-07-01,26502.2,NA
16,1998-10-01,27965.2,NA
17,1999-01-01,25640.1,NA
18,1999-04-01,27525.3,27688.893397106523
19,1999-07-01,27121.3,27790.27169944527
20,1999-10-01,29042.2,29416.185444749895
21,2000-01-01,26797.5,26887.70383646779
22,2000-04-01,29271.7,29004.67010654105
23,2000-07-01,28511.5,28392.721171365996
24,2000-10-01,30482.1,29857.314358880252
25,2001-01-01,28086.8,27089.73074809478
26,2001-04-01,30255.7,29326.41185468774
27,2001-07-01,29354.1,28905.01736890713
28,2001-10-01,31632,30668.80351587441
29,2002-01-01,28127.1,27992.995900757054
30,2002-04-01,30666.9,30960.44721668953
31,2002-07-01,30232.5,30620.377350973384
32,2002-10-01,32367.4,32709.22697570701
33,2003-01-01,29374.1,29543.194066641317
34,2003-04-01,31793.8,32022.52724882479
35,2003-07-01,31321.1,31642.48844575973
36,2003-10-01,32910,33521.72932214587
37,2004-01-01,29877.3,30751.904028254296
38,2004-04-01,32990,33637.73555962851
39,2004-07-01,32693.3,33302.146263367424
40,2004-10-01,34973,34858.67734491717
41,2005-01-01,31358,31109.427591215725
42,2005-04-01,34699.5,33905.006413166266
43,2005-07-01,34722.2,33375.32399277035
44,2005-10-01,35937.3,34954.6222097454
45,2006-01-01,33024.1,31764.359839018467
46,2006-04-01,36026.1,34404.486553356546
47,2006-07-01,36034.6,34373.36354520628
48,2006-10-01,37438.7,35725.41896054428
49,2007-01-01,34062.8,32768.25927023597
50,2007-04-01,37459.7,35694.26214405883
51,2007-07-01,37138,35670.93679413209
52,2007-10-01,39052.8,37422.624005674195
53,2008-01-01,35950.7,34031.43775241739
54,2008-04-01,38904.1,36865.37148543305
55,2008-07-01,38366.2,36632.82302711963
56,2008-10-01,39021.9,38396.68864927234
57,2009-01-01,35681.9,36028.11208232004
58,2009-04-01,39177.1,39887.60580686642
59,2009-07-01,39227.2,40259.643902088035
60,2009-10-01,39964.1,41688.58222022288
61,2010-01-01,36722.9,38361.30501639503
62,2010-04-01,39478.6,41762.44284384502
63,2010-07-01,40472.5,42497.12892456553
64,2010-10-01,41636.3,43650.477657614836
65,2011-01-01,38233,39992.725863954445
66,2011-04-01,41564.5,42633.83809107952
67,2011-07-01,42101.3,42654.09335861074
68,2011-10-01,43647.1,43779.61049406348
69,2012-01-01,40398,39943.51131981252
70,2012-04-01,42913.3,42570.02838991773
71,2012-07-01,42983.8,42897.200414564875
72,2012-10-01,44056.2,44551.33056860786
73,2013-01-01,40919.1,41630.587010947005
74,2013-04-01,43629.2,44749.280927158514
75,2013-07-01,43993.1,45116.9383119099
76,2013-10-01,45278.1,46386.73202116418
77,2014-01-01,42075.7,43024.43412973684
78,2014-04-01,44665.9,45928.642968264125
79,2014-07-01,45217.1,46277.13187066961
80,2014-10-01,45929.5,47604.02601721031
81,2015-01-01,42671.9,44529.3129736217
82,2015-04-01,45518.7,47681.2741879416
83,2015-07-01,45974.1,48334.936488392275
84,2015-10-01,47206.1,49633.9143526551
85,2016-01-01,43555.7,45983.84814825458
86,2016-04-01,46988,49298.32950271416
87,2016-07-01,47242.4,49447.006072685654
88,2016-10-01,49106.5,50939.13279680426
89,2017-01-01,45581.5,46706.86354577961
90,2017-04-01,48498.2,49663.40688250214
91,2017-07-01,49498.7,49795.86479812878
92,2017-10-01,50370.3,50913.21644662093
93,2018-01-01,47305.5,47369.20053093167
94,2018-04-01,50072.5,50032.89032727821
95,2018-07-01,50534.5,50709.815098945364
96,2018-10-01,52173,51981.251364728145
97,2019-01-01,48419,48326.030963089055
98,2019-04-01,51339.9,51501.8949354905
99,2019-07-01,52036.4,51965.549326577006
100,2019-10-01,53147.1,53526.540708745015
101,2020-01-01,47087.1,47423.27568214913
102,2020-04-01,44101.7,44416.561588023826
103,2020-07-01,49790.8,49790.79999999707
104,2020-10-01,49154,48800.719122155286
105,2021-01-01,44578.3,44578.29999999732
106,2021-04-01,48640.6,49034.095259971764
107,2021-07-01,54358.3,54358.29999999667
108,2021-10-01,53638.4,NA
