time,exports_of_goods,exports_of_services,q_2,q_3,q_4,L.exports_of_goods,L.exports_of_services,DL.exports_of_goods,DL.exports_of_services,goods.fitted,services.fitted,goods.fitted.cumsum,services.fitted.cumsum,goods.fitted.level,services.fitted.level
1995-01-01,11947.4,6089.7,0,0,0,9.388268960465412,8.714354098406831,NA,NA,NA,NA,NA,NA,NA,NA
1995-04-01,11867.9,6050.8,1,0,0,9.381592555355665,8.707945773688044,-0.006676405109747208,-0.006408324718787384,0.014814350268755085,NA,9.403083310734168,NA,12125.710484323052,NA
1995-07-01,12068.1,6181.9,0,1,0,9.398320886621816,8.729380946566405,0.01672833126615103,0.02143517287836083,0.013387862758112858,NA,9.41647117349228,NA,12289.139372891537,NA
1995-10-01,11820.6,6041.3,0,0,1,9.377599051093092,8.706374499557901,-0.02072183552872353,-0.023006447008503628,0.018555585102363305,NA,9.435026758594644,NA,12519.30032608693,NA
1996-01-01,11876.6,6442,0,0,0,9.382325356668755,8.770594329891145,0.004726305575662337,0.06421983033324352,0.018574238187994793,NA,9.453600996782638,NA,12754.009819403034,NA
1996-04-01,12117.8,6384.2,1,0,0,9.402430724995076,8.761581466959726,0.020105368326321482,-0.009012862931419008,0.014814350268755085,0.002305847752795862,9.468415347051394,8.77290017764394,12944.358654125128,6456.871410238261
1996-07-01,12337.6,6309.9,0,1,0,9.420406789078696,8.74987510754914,0.017976064083619292,-0.011706359410585065,0.013387862758112858,0.01219692682681779,9.481803209809506,8.785097104470758,13118.821185686518,6536.107635282749
1996-10-01,12997,6472.8,0,0,1,9.47247384058159,8.77536406049363,0.05206705150289359,0.02548895294448883,0.018555585102363305,0.03175686421784669,9.50035879491187,8.816853968688605,13364.521091699307,6747.004912230566
1997-01-01,13536.9,6224.1,0,0,0,9.513174568997387,8.736184132567203,0.04070072841579808,-0.03917992792642622,0.018574238187994793,-0.012153960135195456,9.518933033099865,8.804700008553409,13615.076625326768,6665.498400278042
1997-04-01,14237.2,6333.6,1,0,0,9.563613536418426,8.753624073857225,0.05043896742103904,0.017439941290021466,0.014814350268755085,0.025522144999858002,9.533747383368619,8.830222153553267,13818.276560639657,6837.805689735627
1997-07-01,14422.9,6642.5,0,1,0,9.576572500189164,8.801243677633968,0.012958963770737242,0.04761960377674335,0.013387862758112858,0.012866729304388353,9.547135246126732,8.843088882857655,14004.517654153911,6926.354328646041
1997-10-01,15106,6732.8,0,0,1,9.622847294873393,8.814746383663282,0.0462747946842299,0.013502706029314027,0.018555585102363305,-0.004340361991977521,9.565690831229096,8.838748520865678,14266.805600812891,6896.356591188064
1998-01-01,15380.3,6776.2,0,0,0,9.640842748721154,8.82117175183491,0.017995453847760245,0.0064253681716284206,0.018574238187994793,0.02187616374025054,9.584265069417091,8.860624684605929,14534.27699510708,7048.884699266143
1998-04-01,15572.8,7077.6,1,0,0,9.65328108167223,8.864690146169176,0.012438332951075992,0.04351839433426541,0.014814350268755085,0.015855793299158132,9.599079419685845,8.876480477905087,14751.195652746621,7161.541126357913
1998-07-01,15533.2,7019.7,0,1,0,9.650734947717801,8.856475761063955,-0.0025461339544285977,-0.008214385105221211,0.013387862758112858,-0.005090691546065892,9.612467282443959,8.871389786359021,14950.010519199335,7125.176568395742
1998-10-01,15462.7,7022.9,0,0,1,9.646185951136092,8.856931517128414,-0.004548996581709375,4.5575606445957817e-4,0.018555585102363305,0.01878073574752315,9.63102286754632,8.890170522106544,15230.006421839189,7260.257112281416
1999-01-01,15928.4,6965.1,0,0,0,9.675858958437244,8.848667243612633,0.02967300730115241,-0.008264273515781184,0.018574238187994793,0.013827178724173949,9.649597105734316,8.903997700830718,15515.53572438514,7361.343242393206
1999-04-01,16158.4,7130.1,1,0,0,9.690195317272293,8.87208053855543,0.014336358835048912,0.02341329494279698,0.014814350268755085,0.005117699633548961,9.664411456003071,8.909115400464268,15747.099302196777,7399.11295058309
1999-07-01,16747.3,7276.3,0,1,0,9.725992330230207,8.89237777023387,0.035797012957914376,0.02029723167843933,0.013387862758112858,0.009633150513083869,9.677799318761185,8.918748550977352,15959.336839985854,7470.734134265293
1999-10-01,17577.1,7366.4,0,0,1,9.774352197449716,8.90468439908751,0.048359867219508246,0.012306628853639978,0.018555585102363305,0.01201824309271646,9.696354903863547,8.930766794070067,16258.23622325429,7561.0609306532015
2000-01-01,18021.9,7822.6,0,0,0,9.799342964005866,8.964772259098272,0.024990766556150845,0.060087860010762384,0.018574238187994793,0.013907045902330734,9.714929142051542,8.944673839972399,16563.042585173902,7666.947530401881
2000-04-01,18834.2,7941.4,1,0,0,9.843429645106756,8.979844861116346,0.044086681100889535,0.015072602018074477,0.014814350268755085,-0.0013135600700425478,9.729743492320297,8.943360279902356,16810.23981178603,7656.883145800822
2000-07-01,19302.5,8240.7,0,1,0,9.867989900182971,9.016840570751658,0.024560255076215398,0.03699570963531151,0.013387862758112858,0.011232171190893024,9.743131355078411,8.954592451093248,17036.8062313424,7743.371384142842
2000-10-01,19896.9,8743.4,0,0,1,9.89831921968332,9.076054409020774,0.030329319500348006,0.05921383826911608,0.018555585102363305,0.013697046858341857,9.761686940180773,8.96828949795159,17355.88533384329,7850.162396004565
2001-01-01,20067.9,8556.9,0,0,0,9.906876802534123,9.0544932540111,0.008557582850803769,-0.021561155009674593,0.018574238187994793,-0.012399805493482508,9.780261178368768,8.955889692458108,17681.270215318695,7753.422924032896
2001-04-01,20062.3,8653.7,1,0,0,9.90659771097533,9.065742254133568,-2.79091558793354e-4,0.011249000122468544,0.014814350268755085,0.024569548548696734,9.795075528637524,8.980459241006805,17945.156571809668,7946.28053556002
2001-07-01,20136.3,8604.7,0,1,0,9.910279435393083,9.060063844586415,0.0036817244177527186,-0.0056784095471531515,0.013387862758112858,0.00862276621736761,9.808463391395636,8.989082007224173,18187.019264928553,8015.095717148401
2001-10-01,20163.3,8614.2,0,0,1,9.911619399265671,9.061167283361703,0.001339963872588612,0.0011034387752886232,0.018555585102363305,0.0018527939466061122,9.827018976498,8.990934801170779,18527.640488497116,8029.959803767278
2002-01-01,20920.8,8966.5,0,0,0,9.948499158365475,9.101250689388479,0.03687975909980423,0.04008340602677585,0.018574238187994793,0.016149799498267146,9.845593214685994,9.007084600669046,18874.993215736733,8160.694875705744
2002-04-01,20994.4,8866.7,1,0,0,9.952011014477016,9.090057965493111,0.003511856111540368,-0.011192723895367962,0.014814350268755085,0.001920050838319687,9.86040756495475,9.009004651507365,19156.695442320957,8176.378876964607
2002-07-01,20981.4,8950.6,0,1,0,9.951391609943183,9.099475848128026,-6.194045338325793e-4,0.009417882634915387,0.013387862758112858,0.02035471695119168,9.873795427712862,9.029359368458557,19414.887112725024,8344.512101829345
2002-10-01,20921.2,8843.9,0,0,1,9.94851827791043,9.087483234812552,-0.002873332032752529,-0.011992613315474188,0.018555585102363305,0.01815405940096772,9.892351012815226,9.047513427859524,19778.504839602047,8497.382278908368
2003-01-01,20771.6,8940.4,0,0,0,9.941341948087096,9.09833560989594,-0.007176329823334271,0.01085237508338821,0.018574238187994793,0.003107385164514748,9.91092525100322,9.05062081302404,20149.30853697641,8523.827985757998
2003-04-01,20467.1,9025.8,1,0,0,9.926573997881423,9.107842421931833,-0.01476795020567323,0.009506812035892764,0.014814350268755085,0.014761560125667718,9.925739601271976,9.065382373149708,20450.02944395223,8650.586258251806
2003-07-01,21116.5,9161.8,0,1,0,9.957810004390202,9.122797944913511,0.031236006508779113,0.014955522981678016,0.013387862758112858,0.008464717205946343,9.939127464030088,9.073847090355654,20725.652516723003,8724.121814360238
2003-10-01,21502.8,9328,0,0,1,9.97593843819437,9.140775908590273,0.01812843380416851,0.017977963676761632,0.018555585102363305,0.017588585616216217,9.957683049132452,9.09143567597187,21113.819319466573,8878.924164248057
2004-01-01,22014.5,9353.1,0,0,0,9.99945660614452,9.14346311813405,0.02351816795014905,0.0026872095437777688,0.018574238187994793,0.006061818935169267,9.976257287320447,9.097497494907039,21509.657242142937,8932.910055908862
2004-04-01,23015.5,9460.1,1,0,0,10.04392318097734,9.154838232814578,0.04446657483281946,0.011375114680527432,0.014814350268755085,0.01464526233424918,9.9910716375892,9.112142757241289,21830.680845644027,9064.697542730353
2004-07-01,23470.8,9509.1,0,1,0,10.063512374331472,9.160004513837077,0.01958919335413256,0.005166281022498609,0.013387862758112858,0.01004967770051895,10.004459500347314,9.122192434941807,22124.912174349265,9156.254117954128
2004-10-01,23330.8,9490,0,0,1,10.057529655040511,9.157993891603974,-0.005982719290960503,-0.0020106222331026657,0.018555585102363305,0.011998990145603485,10.023015085449678,9.13419142508741,22539.28544499876,9266.781704492309
2005-01-01,23548.6,9840,0,0,0,10.066821649694447,9.1942109900463,0.009291994653935376,0.036217098442325124,0.018574238187994793,0.012046746876564015,10.041589323637673,9.146238171963974,22961.847739113502,9379.09140306816
2005-04-01,24350.3,9951.2,1,0,0,10.100299448763383,9.205448425895755,0.033477799068936775,0.01123743584945558,0.014814350268755085,0.003947385015457798,10.056403673906427,9.150185556979432,23304.544743592556,9416.187455964164
2005-07-01,24760.6,10404.8,0,1,0,10.117008959138206,9.250022517114887,0.016709510374822045,0.04457409121913258,0.013387862758112858,0.012090971896553913,10.06979153666454,9.162276528875987,23618.64063520768,9530.729380040537
2005-10-01,25580.7,10740.2,0,0,1,10.149593439887422,9.281748989863399,0.03258448074921638,0.03172647274851137,0.018555585102363305,0.011935594996033633,10.088347121766903,9.174212123872021,24060.989662005257,9645.16588126944
2006-01-01,25828.2,10764.4,0,0,0,10.159222197250525,9.283999672063073,0.009628757363103091,0.002250682199674614,0.018574238187994793,-6.24198950352403e-4,10.106921359954898,9.173587924921668,24512.080581238635,9639.147257455119
2006-04-01,26173.1,11163.5,1,0,0,10.172487444756415,9.320404806838491,0.013265247505890088,0.036405134775417736,0.014814350268755085,0.0191048452500401,10.121735710223653,9.192692770171707,24877.914232092073,9825.072051255647
2006-07-01,26625.8,10876.5,0,1,0,10.189635949508682,9.294359777479757,0.017148504752267257,-0.026045029358733984,0.013387862758112858,-7.208633201252423e-4,10.135123572981767,9.191971906851583,25213.215811171496,9817.99206935254
2006-10-01,27939.8,11016.5,0,0,1,10.237807474589198,9.307149427904243,0.04817152508051592,0.012789650424485544,0.018555585102363305,0.017612255849240237,10.15367915808413,9.209584162700823,25685.429333057396,9992.440765788146
2007-01-01,28236.7,11157.8,0,0,0,10.248377829254961,9.319894083885627,0.010570354665762949,0.012744655981384412,0.018574238187994793,0.009832806331335913,10.172253396272124,9.219416969032158,26166.974942423956,10091.179142750067
2007-04-01,28604.8,11327.9,1,0,0,10.261329814893534,9.33502398821092,0.012951985638572694,0.015129904325293708,0.014814350268755085,5.421037413023016e-4,10.18706774654088,9.219959072773461,26557.507273747327,10096.65109176552
2007-07-01,28620.9,11682.1,0,1,0,10.26189249915689,9.365813034741668,5.626842633557061e-4,0.030789046530747655,0.013387862758112858,0.0186609561879946,10.200455609298993,9.238620028961456,26915.44620874911,10286.833226763478
2007-10-01,29723.9,11922.7,0,0,1,10.299706714986948,9.386199425036923,0.03781421583005873,0.02038639029525413,0.018555585102363305,0.008919094735767652,10.219011194401356,9.247539123697223,27419.540479886567,10378.992846089208
2008-01-01,30478.9,11896.5,0,0,0,10.324789919910506,9.383999518191484,0.025083204923557645,-0.0021999068454388038,0.018574238187994793,0.006899271791970972,10.23758543258935,9.254438395489194,27933.59687963476,10450.84792750482
2008-04-01,29661.7,12165.1,1,0,0,10.297611930300253,9.406326475487989,-0.027177989610253306,0.0223269572965048,0.014814350268755085,0.01666378454413404,10.252399782858106,9.271102180033328,28350.495383785674,10626.45770379371
2008-07-01,28732.6,12153.4,0,1,0,10.265787645616218,9.40536424501302,-0.031824284684034865,-9.622304749683508e-4,0.013387862758112858,0.0038866556352321322,10.265787645616218,9.27498883566856,28732.599999999977,10667.839451719583
2008-10-01,26264,12582.3,0,0,1,10.175954459181428,9.440046343431796,-0.08983318643478988,0.03468209841877545,-0.0898331864347901,0.012970047648050454,10.175954459181428,9.28795888331661,26263.99999999998,10807.10301296026
2009-01-01,23967.4,11278.5,0,0,0,10.084449852625768,9.33065353748619,-0.0915046065556595,-0.10939280594560508,-0.09150460655565942,-0.10939280594560517,10.084449852625768,9.178566077371006,23967.399999999994,9687.252039108296
2009-04-01,23295.3,11127.5,1,0,0,10.056006902468036,9.31717480089001,-0.028442950157732128,-0.013478736596180596,-0.0284429501577321,0.03629400836778595,10.056006902468036,9.214860085738792,23295.299999999985,10045.299430742378
2009-07-01,24177.2,11076.6,0,1,0,10.093165319283342,9.312590054004579,0.03715841681530563,-0.004584746885431201,0.04328567853181342,0.013736439981157474,10.099292580999851,9.228596525719949,24325.794806712485,10184.23816054062
2009-10-01,25220.3,11134.7,0,0,1,10.135404504769335,9.317821637253983,0.04223918548599315,0.005231583249404537,0.04845340087606387,-0.0057497093509979785,10.147745981875914,9.222846816368952,25533.484358731694,10125.849770149118
2010-01-01,26352.1,11153.8,0,0,0,10.179303247188606,9.319535526001578,0.043898742419271386,0.0017138887475951492,0.048472053961695356,0.03231998165473053,10.19621803583761,9.255166798023682,26801.631347925177,10458.463124750551
2010-04-01,28213,11138.8,1,0,0,10.24753814360942,9.31818978775088,0.06823489642081348,-0.0013457382506985027,0.04471216604245565,0.016761165193632258,10.240930201880065,9.271927963217314,28027.184744313825,10635.236478054056
2010-07-01,29267,11418,0,1,0,10.284215880411878,9.342946336524205,0.03667773680245823,0.02475654877332545,0.04328567853181342,0.01573331565382027,10.284215880411878,9.287661278871134,29266.999999999996,10803.887249597352
2010-10-01,29935.8,11275.4,0,0,1,10.30681036757226,9.33037864046,0.02259448716038115,-0.012567696064206046,0.009251400362475216,0.009470122906493194,10.293467280774355,9.297131401777627,29539.017063666426,10906.687386397884
2011-01-01,30255.3,11521.2,0,0,0,10.317426654723672,9.351944095491579,0.010616287151412607,0.02156545503157936,0.009270053448106705,0.014395630582048964,10.30273733422246,9.311527032359676,29814.118462946954,11064.831590593236
2011-04-01,30416.6,11755,1,0,0,10.322743790993405,9.37203396097417,0.005317136269733069,0.020089865482590952,0.005510165528866996,0.011990479131384027,10.308247499751328,9.32351751149106,29978.852630236437,11198.302815732006
2011-07-01,30356.5,11915.9,0,1,0,10.320765941596482,9.38562892172008,-0.001977849396922693,0.013594960745910711,0.004083678018224769,0.0031980573115017326,10.312331177769552,9.326715568802562,30101.526922408608,11234.172956739605
2011-10-01,30761.3,12060,0,0,1,10.334012685405343,9.397649470281177,0.013246743808860373,0.012020548561096689,0.009251400362475216,0.020140532697673706,10.321582578132027,9.346856101500236,30381.300352049777,11462.729079612418
2012-01-01,30518.7,12080,0,0,0,10.326094889471541,9.399306471488806,-0.007917795933801486,0.0016570012076293494,0.009270053448106705,0.006216614631914024,10.330852631580134,9.35307271613215,30664.246064860676,11534.210404648731
2012-04-01,30670.2,12145.3,1,0,0,10.331046778117358,9.404697542654455,0.004951888645816638,0.005391071165648853,0.005510165528866996,0.011856439996315752,10.336362797109002,9.364929156128465,30833.677505449225,11671.779003578631
