unit,s_adj,nace_r2,na_item,geo,time,values
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1995-01-01,44020.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1995-04-01,44282.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1995-07-01,44463.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1995-10-01,44783.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1996-01-01,44787.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1996-04-01,45188
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1996-07-01,45328.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1996-10-01,45442.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1997-01-01,45602.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1997-04-01,45765.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1997-07-01,46431.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1997-10-01,46944.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1998-01-01,47330.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1998-04-01,47862
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1998-07-01,48233.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1998-10-01,48386.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1999-01-01,48503
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1999-04-01,49151.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1999-07-01,50066.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,1999-10-01,50135.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2000-01-01,50808.9
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2000-04-01,51232
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2000-07-01,51566
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2000-10-01,52295.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2001-01-01,52215.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2001-04-01,52051
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2001-07-01,52149.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,AT,2001-10-01,52244.3
