geo,time,na_item,values
AT,1995-01-01,GDP,49735.9
AT,1995-04-01,GDP,50057.7
AT,1995-07-01,GDP,50259
AT,1995-10-01,GDP,50678.7
AT,1996-01-01,GDP,50896.5
AT,1996-04-01,GDP,51323.1
AT,1996-07-01,GDP,51484.8
AT,1996-10-01,GDP,51573.1
AT,1997-01-01,GDP,51845.6
AT,1997-04-01,GDP,52008.7
AT,1997-07-01,GDP,52700.9
AT,1997-10-01,GDP,53217.4
AT,1998-01-01,GDP,53602.2
AT,1998-04-01,GDP,54180.1
AT,1998-07-01,GDP,54593.9
AT,1998-10-01,GDP,54771.6
AT,1999-01-01,GDP,55110.7
AT,1999-04-01,GDP,55838.5
AT,1999-07-01,GDP,56770.5
AT,1999-10-01,GDP,56953.9
AT,2000-01-01,GDP,57516.7
AT,2000-04-01,GDP,57919
AT,2000-07-01,GDP,58246.3
AT,2000-10-01,GDP,59028.5
AT,2001-01-01,GDP,58915.1
AT,2001-04-01,GDP,58757.3
AT,2001-07-01,GDP,58792.8
AT,2001-10-01,GDP,59066.6
AT,2002-01-01,GDP,59696.8
AT,2002-04-01,GDP,59926.4
AT,2002-07-01,GDP,60126.5
AT,2002-10-01,GDP,59886
AT,2003-01-01,GDP,60306.9
AT,2003-04-01,GDP,60351.9
AT,2003-07-01,GDP,60544
AT,2003-10-01,GDP,60652.9
AT,2004-01-01,GDP,61267.5
AT,2004-04-01,GDP,61773.4
AT,2004-07-01,GDP,62441.6
AT,2004-10-01,GDP,62630.6
AT,2005-01-01,GDP,62506.3
AT,2005-04-01,GDP,63352.5
AT,2005-07-01,GDP,63755.8
AT,2005-10-01,GDP,64317.8
AT,2006-01-01,GDP,65038.3
AT,2006-04-01,GDP,65233.7
AT,2006-07-01,GDP,66032.7
AT,2006-10-01,GDP,66667.1
AT,2007-01-01,GDP,67331
AT,2007-04-01,GDP,68054.9
AT,2007-07-01,GDP,68307.8
AT,2007-10-01,GDP,68912.6
AT,2008-01-01,GDP,69424.9
AT,2008-04-01,GDP,69989
AT,2008-07-01,GDP,69468.2
AT,2008-10-01,GDP,67942.5
AT,2009-01-01,GDP,66765.7
AT,2009-04-01,GDP,66200.2
AT,2009-07-01,GDP,66524.3
AT,2009-10-01,GDP,66878.3
AT,2010-01-01,GDP,66561.3
AT,2010-04-01,GDP,67454.5
AT,2010-07-01,GDP,68150.8
AT,2010-10-01,GDP,68914
AT,2011-01-01,GDP,69437.3
AT,2011-04-01,GDP,69687.6
AT,2011-07-01,GDP,70119.3
AT,2011-10-01,GDP,70075.6
AT,2012-01-01,GDP,70702.5
AT,2012-04-01,GDP,70363.2
AT,2012-07-01,GDP,70182.2
AT,2012-10-01,GDP,70120.6
AT,2013-01-01,GDP,70118.7
AT,2013-04-01,GDP,70117.2
AT,2013-07-01,GDP,70392.1
AT,2013-10-01,GDP,70703.2
AT,2014-01-01,GDP,70533.1
AT,2014-04-01,GDP,70983.8
AT,2014-07-01,GDP,70977.3
AT,2014-10-01,GDP,71046.4
AT,2015-01-01,GDP,71192.2
AT,2015-04-01,GDP,71351.5
AT,2015-07-01,GDP,71844.9
AT,2015-10-01,GDP,71966.4
AT,2016-01-01,GDP,72546.5
AT,2016-04-01,GDP,72643.6
AT,2016-07-01,GDP,73044.3
AT,2016-10-01,GDP,73820.8
AT,2017-01-01,GDP,73994.1
AT,2017-04-01,GDP,74457.3
AT,2017-07-01,GDP,74959.4
AT,2017-10-01,GDP,75448.6
AT,2018-01-01,GDP,75983.6
AT,2018-04-01,GDP,76123.1
AT,2018-07-01,GDP,76465.9
AT,2018-10-01,GDP,77441.3
AT,2019-01-01,GDP,77888.2
AT,2019-04-01,GDP,77494.8
AT,2019-07-01,GDP,77773
AT,2019-10-01,GDP,77315
AT,2020-01-01,GDP,75432.1
AT,2020-04-01,GDP,66931
AT,2020-07-01,GDP,74427.6
AT,2020-10-01,GDP,72796
AT,2021-01-01,GDP,71698.2
AT,2021-04-01,GDP,74781.1
AT,2021-07-01,GDP,78043.3
AT,2021-10-01,GDP,77722.6
AT,2022-01-01,GDP,78104.4
AT,2022-04-01,GDP,79774.3
AT,2022-07-01,GDP,79633.5
AT,2022-10-01,GDP,79431.3
AT,2023-01-01,GDP,79548.5
AT,2023-04-01,GDP,78481.8
AT,2023-07-01,GDP,78290
AT,2023-10-01,GDP,78383.1
AT,2024-01-01,GDP,78513.6
AT,2024-04-01,GDP,78509.3
AT,1995-01-01,Export,15863.1
AT,1995-04-01,Export,15784.6
AT,1995-07-01,Export,16085.2
AT,1995-10-01,Export,15747.9
AT,1996-01-01,Export,16101.8
AT,1996-04-01,Export,16257.5
AT,1996-07-01,Export,16413.8
AT,1996-10-01,Export,17177.3
AT,1997-01-01,Export,17463.8
AT,1997-04-01,Export,18203.5
AT,1997-07-01,Export,18666.9
AT,1997-10-01,Export,19345.4
AT,1998-01-01,Export,19620.4
AT,1998-04-01,Export,20078
AT,1998-07-01,Export,19981.4
AT,1998-10-01,Export,19922.1
AT,1999-01-01,Export,20302.5
AT,1999-04-01,Export,20628.4
AT,1999-07-01,Export,21274.4
AT,1999-10-01,Export,22055.9
AT,2000-01-01,Export,22932.7
AT,2000-04-01,Export,23748.3
AT,2000-07-01,Export,24436
AT,2000-10-01,Export,25390.5
AT,2001-01-01,Export,25302.3
AT,2001-04-01,Export,25471.9
AT,2001-07-01,Export,25515.5
AT,2001-10-01,Export,25534.1
AT,2002-01-01,Export,26423.2
AT,2002-04-01,Export,26449.4
AT,2002-07-01,Export,26579.3
AT,2002-10-01,Export,26405
AT,2003-01-01,Export,26267.5
AT,2003-04-01,Export,26134.2
AT,2003-07-01,Export,26912.6
AT,2003-10-01,Export,27370
AT,2004-01-01,Export,27791
AT,2004-04-01,Export,28828.9
AT,2004-07-01,Export,29291.2
AT,2004-10-01,Export,29045.4
AT,2005-01-01,Export,29668
AT,2005-04-01,Export,30362.5
AT,2005-07-01,Export,31224.5
AT,2005-10-01,Export,32120.5
AT,2006-01-01,Export,32398.4
AT,2006-04-01,Export,33097.1
AT,2006-07-01,Export,33421.7
AT,2006-10-01,Export,34585.6
AT,2007-01-01,Export,34848.2
AT,2007-04-01,Export,35439.6
AT,2007-07-01,Export,36005.1
AT,2007-10-01,Export,36952.2
AT,2008-01-01,Export,37448.1
AT,2008-04-01,Export,37052.6
AT,2008-07-01,Export,36640
AT,2008-10-01,Export,34338.9
AT,2009-01-01,Export,30947.5
AT,2009-04-01,Export,30456.3
AT,2009-07-01,Export,31504.2
AT,2009-10-01,Export,32264.8
AT,2010-01-01,Export,33104.6
AT,2010-04-01,Export,34875.8
AT,2010-07-01,Export,36263.8
AT,2010-10-01,Export,36524.9
AT,2011-01-01,Export,37080.4
AT,2011-04-01,Export,37355.6
AT,2011-07-01,Export,37568.1
AT,2011-10-01,Export,37927.5
AT,2012-01-01,Export,37778.1
