model_varname,full_name,database,variable_code,dataset_id,var_col,freq,geo,unit,s_adj,nace_r2,ipcc_sector,cpa2_1,siec,p_adj,meat,age,citizen,wstatus,tra_oper
TOTS,Total Supply,NA,TOTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP,Gross domestic product at market prices,eurostat,B1GQ,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAdd,"Value added, gross",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Export,Exports of goods and services,eurostat,P6,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Import,Imports of goods and services,eurostat,P7,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCapitalForm,Gross capital formation,eurostat,P5G,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FinConsExp,Final consumption expenditure,eurostat,P3,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FinConsExpGov,Final consumption expenditure of general government,eurostat,P3_S13,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FinConsExpHH,Household and NPISH final consumption expenditure,eurostat,P31_S14_S15,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
StatDiscrep,Statistical discrepancy (expenditure approach),eurostat,YA0,namq_10_gdp,na_item,q,AT,CP_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emissions,Greenhouse Gas Emissions (All NACE and HH),eurostat,GHG,env_ac_aigg_q,airpol,q,AT,THS_T,SCA,TOTAL_HH,NA,NA,NA,NA,NA,NA,NA,NA,NA
LabCostManuf,Manufacturing Labour cost index - Total Labour Cost,eurostat,LM-LCI-TOT,ei_lmlc_q,indic,q,AT,I20,SCA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA
DomDemand,Domestic Demand,NA,DomDemand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddManuf,"Value added, gross Manufacturing",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddGov,"Value added, gross Government",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,O-Q,NA,NA,NA,NA,NA,NA,NA,NA,NA
LabCostConstr,Construction Labour cost index - Total Labour Cost,eurostat,LM-LCI-TOT,ei_lmlc_q,indic,q,AT,I20,SCA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
BuildingPermits,Building permits - m^2 useful floor area,eurostat,BPRM_SQM,sts_cobp_q,indic_bt,q,AT,I15,SCA,F_CC1,NA,CPA_F41001_41002,NA,NA,NA,NA,NA,NA,NA
LabCostService,Service Labour cost index - Total Labour Cost,eurostat,LM-LCI-TOT,ei_lmlc_q,indic,q,AT,I20,SCA,G-N,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddConstr,"Value added, gross Construction",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddAgri,"Value added, gross Agriculture",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddIndus,"Value added, gross Industry",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,B-E,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddInfocom,"Value added, gross Information and Communication",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddFinance,"Value added, gross Financial Services",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,K,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddRealest,"Value added, gross Real Estate",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
