time,na_item,values
1999-01-01,CapFormGov,1001
1999-04-01,CapFormGov,1193
1999-07-01,CapFormGov,1404
1999-10-01,CapFormGov,2254
2000-01-01,CapFormGov,1042
2000-04-01,CapFormGov,1199
2000-07-01,CapFormGov,1343
2000-10-01,CapFormGov,2156
2001-01-01,CapFormGov,1021
2001-04-01,CapFormGov,1112
2001-07-01,CapFormGov,1287
2001-10-01,CapFormGov,1987
2002-01-01,CapFormGov,1133
2002-04-01,CapFormGov,1289
2002-07-01,CapFormGov,1460
2002-10-01,CapFormGov,2231
2003-01-01,CapFormGov,1147
2003-04-01,CapFormGov,1256
2003-07-01,CapFormGov,1498
2003-10-01,CapFormGov,2084
2004-01-01,CapFormGov,1123
2004-04-01,CapFormGov,1285
2004-07-01,CapFormGov,1461
2004-10-01,CapFormGov,2155
2005-01-01,CapFormGov,1584
2005-04-01,CapFormGov,1724
2005-07-01,CapFormGov,1843
2005-10-01,CapFormGov,2424
2006-01-01,CapFormGov,1688
2006-04-01,CapFormGov,1782
2006-07-01,CapFormGov,1923
2006-10-01,CapFormGov,2468
2007-01-01,CapFormGov,1712
2007-04-01,CapFormGov,1830
2007-07-01,CapFormGov,2205
2007-10-01,CapFormGov,2825
2008-01-01,CapFormGov,1910
2008-04-01,CapFormGov,2322
2008-07-01,CapFormGov,2324
2008-10-01,CapFormGov,3103
2009-01-01,CapFormGov,2124
2009-04-01,CapFormGov,2218
2009-07-01,CapFormGov,2564
2009-10-01,CapFormGov,2901
2010-01-01,CapFormGov,2174
2010-04-01,CapFormGov,2252
2010-07-01,CapFormGov,2392
2010-10-01,CapFormGov,2856
2011-01-01,CapFormGov,2067
2011-04-01,CapFormGov,2172
2011-07-01,CapFormGov,2321
2011-10-01,CapFormGov,2832
2012-01-01,CapFormGov,2091
2012-04-01,CapFormGov,2125
2012-07-01,CapFormGov,2303
2012-10-01,CapFormGov,2841
2013-01-01,CapFormGov,2124
2013-04-01,CapFormGov,2312
2013-07-01,CapFormGov,2483
2013-10-01,CapFormGov,2980
2014-01-01,CapFormGov,2169
2014-04-01,CapFormGov,2216
2014-07-01,CapFormGov,2454
2014-10-01,CapFormGov,3082
2015-01-01,CapFormGov,2232
2015-04-01,CapFormGov,2342
2015-07-01,CapFormGov,2501
2015-10-01,CapFormGov,3164
2016-01-01,CapFormGov,2313
2016-04-01,CapFormGov,2471
2016-07-01,CapFormGov,2625
2016-10-01,CapFormGov,3233
2017-01-01,CapFormGov,2453
2017-04-01,CapFormGov,2713
2017-07-01,CapFormGov,2874
2017-10-01,CapFormGov,3382
2018-01-01,CapFormGov,2224
2018-04-01,CapFormGov,2695
2018-07-01,CapFormGov,2968
2018-10-01,CapFormGov,3931
2019-01-01,CapFormGov,2397
2019-04-01,CapFormGov,2925
2019-07-01,CapFormGov,3154
2019-10-01,CapFormGov,3939
2020-01-01,CapFormGov,2425
2020-04-01,CapFormGov,2857
2020-07-01,CapFormGov,3051
2020-10-01,CapFormGov,4315
2021-01-01,CapFormGov,2839
2021-04-01,CapFormGov,3039
2021-07-01,CapFormGov,3959
2021-10-01,CapFormGov,4713
2022-01-01,CapFormGov,2847
2022-04-01,CapFormGov,3652
2022-07-01,CapFormGov,3825
2022-10-01,CapFormGov,5152
2023-01-01,CapFormGov,3568
2023-04-01,CapFormGov,3995
2023-07-01,CapFormGov,4479
2023-10-01,CapFormGov,5371
2024-01-01,CapFormGov,3533
2024-04-01,CapFormGov,3890
2024-07-01,CapFormGov,4592
