time,values,geo,na_item
1996-01-01,71.55333333333333,AT,HICPlocal
1996-04-01,71.71666666666667,AT,HICPlocal
1996-07-01,71.76333333333334,AT,HICPlocal
1996-10-01,72.05333333333333,AT,HICPlocal
1997-01-01,72.46333333333334,AT,HICPlocal
1997-04-01,72.56,AT,HICPlocal
1997-07-01,72.58333333333333,AT,HICPlocal
1997-10-01,72.82,AT,HICPlocal
1998-01-01,73.22666666666666,AT,HICPlocal
1998-04-01,73.27333333333333,AT,HICPlocal
1998-07-01,73.08333333333333,AT,HICPlocal
1998-10-01,73.22666666666666,AT,HICPlocal
1999-01-01,73.39333333333333,AT,HICPlocal
1999-04-01,73.44,AT,HICPlocal
1999-07-01,73.42,AT,HICPlocal
1999-10-01,74.06333333333333,AT,HICPlocal
2000-01-01,74.68333333333334,AT,HICPlocal
2000-04-01,74.83,AT,HICPlocal
2000-07-01,74.92333333333333,AT,HICPlocal
2000-10-01,75.64,AT,HICPlocal
2001-01-01,76.16666666666666,AT,HICPlocal
2001-04-01,76.84333333333333,AT,HICPlocal
2001-07-01,76.82,AT,HICPlocal
2001-10-01,77.14666666666666,AT,HICPlocal
2002-01-01,77.52,AT,HICPlocal
2002-04-01,78.07000000000001,AT,HICPlocal
2002-07-01,78.12,AT,HICPlocal
2002-10-01,78.42999999999999,AT,HICPlocal
2003-01-01,78.87333333333333,AT,HICPlocal
2003-04-01,78.91666666666667,AT,HICPlocal
2003-07-01,79.00666666666667,AT,HICPlocal
2003-10-01,79.40666666666667,AT,HICPlocal
2004-01-01,80.01,AT,HICPlocal
2004-04-01,80.48333333333333,AT,HICPlocal
2004-07-01,80.62333333333333,AT,HICPlocal
2004-10-01,81.3,AT,HICPlocal
2005-01-01,81.91,AT,HICPlocal
2005-04-01,82.15666666666667,AT,HICPlocal
2005-07-01,82.37333333333333,AT,HICPlocal
2005-10-01,82.75666666666666,AT,HICPlocal
2006-01-01,83.10000000000001,AT,HICPlocal
2006-04-01,83.83,AT,HICPlocal
2006-07-01,83.84333333333333,AT,HICPlocal
2006-10-01,83.97666666666666,AT,HICPlocal
2007-01-01,84.58666666666667,AT,HICPlocal
2007-04-01,85.4,AT,HICPlocal
2007-07-01,85.48,AT,HICPlocal
2007-10-01,86.65,AT,HICPlocal
2008-01-01,87.33333333333333,AT,HICPlocal
2008-04-01,88.58,AT,HICPlocal
2008-07-01,88.64666666666666,AT,HICPlocal
2008-10-01,88.59,AT,HICPlocal
2009-01-01,88.24,AT,HICPlocal
2009-04-01,88.66,AT,HICPlocal
2009-07-01,88.56,AT,HICPlocal
2009-10-01,89.11,AT,HICPlocal
2010-01-01,89.41,AT,HICPlocal
2010-04-01,90.24333333333334,AT,HICPlocal
2010-07-01,90.03666666666666,AT,HICPlocal
2010-10-01,90.88666666666667,AT,HICPlocal
2011-01-01,92.1,AT,HICPlocal
2011-04-01,93.57666666666667,AT,HICPlocal
2011-07-01,93.47666666666667,AT,HICPlocal
2011-10-01,94.22666666666667,AT,HICPlocal
2012-01-01,94.60333333333332,AT,HICPlocal
2012-04-01,95.69,AT,HICPlocal
2012-07-01,95.71666666666667,AT,HICPlocal
2012-10-01,96.97333333333333,AT,HICPlocal
2013-01-01,97.07000000000001,AT,HICPlocal
2013-04-01,97.84333333333333,AT,HICPlocal
2013-07-01,97.61,AT,HICPlocal
2013-10-01,98.57,AT,HICPlocal
2014-01-01,98.51,AT,HICPlocal
2014-04-01,99.40666666666667,AT,HICPlocal
2014-07-01,99.08333333333333,AT,HICPlocal
2014-10-01,99.80666666666667,AT,HICPlocal
2015-01-01,99.12666666666667,AT,HICPlocal
2015-04-01,100.37666666666667,AT,HICPlocal
2015-07-01,99.95666666666666,AT,HICPlocal
2015-10-01,100.53999999999999,AT,HICPlocal
2016-01-01,100.14333333333333,AT,HICPlocal
2016-04-01,101.00333333333334,AT,HICPlocal
2016-07-01,100.71666666666667,AT,HICPlocal
2016-10-01,102.02,AT,HICPlocal
2017-01-01,102.32666666666667,AT,HICPlocal
2017-04-01,103.17999999999999,AT,HICPlocal
2017-07-01,102.94333333333333,AT,HICPlocal
2017-10-01,104.44333333333333,AT,HICPlocal
2018-01-01,104.34333333333333,AT,HICPlocal
2018-04-01,105.38333333333334,AT,HICPlocal
2018-07-01,105.25333333333333,AT,HICPlocal
2018-10-01,106.66666666666667,AT,HICPlocal
2019-01-01,106.01333333333334,AT,HICPlocal
2019-04-01,107.13666666666667,AT,HICPlocal
2019-07-01,106.67333333333333,AT,HICPlocal
2019-10-01,108.11,AT,HICPlocal
2020-01-01,108.11,AT,HICPlocal
2020-04-01,108.27,AT,HICPlocal
2020-07-01,108.21,AT,HICPlocal
2020-10-01,109.28333333333333,AT,HICPlocal
2021-01-01,109.71333333333334,AT,HICPlocal
2021-04-01,111.05,AT,HICPlocal
2021-07-01,111.54666666666667,AT,HICPlocal
2021-10-01,113.53333333333333,AT,HICPlocal
2022-01-01,115.77666666666667,AT,HICPlocal
2022-04-01,119.78,AT,HICPlocal
2022-07-01,122.59,AT,HICPlocal
2022-10-01,126.12,AT,HICPlocal
2023-01-01,128.04666666666668,AT,HICPlocal
2023-04-01,130.12,AT,HICPlocal
2023-07-01,130.83666666666667,AT,HICPlocal
2023-10-01,132.59333333333333,AT,HICPlocal
2024-01-01,133.32666666666665,AT,HICPlocal
2024-04-01,134.36666666666667,AT,HICPlocal
2024-07-01,133.95,AT,HICPlocal
2024-10-01,135.18333333333334,AT,HICPlocal
2025-01-01,137.19,AT,HICPlocal
