time,na_item,values
1999-01-01,CapFormGov,11022
1999-04-01,CapFormGov,14306
1999-07-01,CapFormGov,14933
1999-10-01,CapFormGov,15968
2000-01-01,CapFormGov,10888
2000-04-01,CapFormGov,13806
2000-07-01,CapFormGov,14719
2000-10-01,CapFormGov,15983
2001-01-01,CapFormGov,10931
2001-04-01,CapFormGov,13934
2001-07-01,CapFormGov,14659
2001-10-01,CapFormGov,16075
2002-01-01,CapFormGov,11857
2002-04-01,CapFormGov,14709
2002-07-01,CapFormGov,15641
2002-10-01,CapFormGov,16054
2003-01-01,CapFormGov,10443
2003-04-01,CapFormGov,14644
2003-07-01,CapFormGov,15455
2003-10-01,CapFormGov,15802
2004-01-01,CapFormGov,9982
2004-04-01,CapFormGov,13200
2004-07-01,CapFormGov,13967
2004-10-01,CapFormGov,14223
2005-01-01,CapFormGov,8925
2005-04-01,CapFormGov,13300
2005-07-01,CapFormGov,14493
2005-10-01,CapFormGov,14626
2006-01-01,CapFormGov,9460
2006-04-01,CapFormGov,14520
2006-07-01,CapFormGov,15320
2006-10-01,CapFormGov,16758
2007-01-01,CapFormGov,10984
2007-04-01,CapFormGov,14189
2007-07-01,CapFormGov,15349
2007-10-01,CapFormGov,16279
2008-01-01,CapFormGov,11552
2008-04-01,CapFormGov,15683
2008-07-01,CapFormGov,16509
2008-10-01,CapFormGov,17640
2009-01-01,CapFormGov,11740
2009-04-01,CapFormGov,16381
2009-07-01,CapFormGov,18054
2009-10-01,CapFormGov,19521
2010-01-01,CapFormGov,12445
2010-04-01,CapFormGov,17562
2010-07-01,CapFormGov,19001
2010-10-01,CapFormGov,19486
2011-01-01,CapFormGov,13627
2011-04-01,CapFormGov,17723
2011-07-01,CapFormGov,19158
2011-10-01,CapFormGov,20017
2012-01-01,CapFormGov,13399
2012-04-01,CapFormGov,16870
2012-07-01,CapFormGov,18488
2012-10-01,CapFormGov,20280
2013-01-01,CapFormGov,11626
2013-04-01,CapFormGov,17729
2013-07-01,CapFormGov,19311
2013-10-01,CapFormGov,21159
2014-01-01,CapFormGov,13231
2014-04-01,CapFormGov,17491
2014-07-01,CapFormGov,18859
2014-10-01,CapFormGov,20546
2015-01-01,CapFormGov,13144
2015-04-01,CapFormGov,17797
2015-07-01,CapFormGov,19521
2015-10-01,CapFormGov,23178
2016-01-01,CapFormGov,14939
2016-04-01,CapFormGov,19338
2016-07-01,CapFormGov,20647
2016-10-01,CapFormGov,23160
2017-01-01,CapFormGov,15194
2017-04-01,CapFormGov,20930
2017-07-01,CapFormGov,22387
2017-10-01,CapFormGov,24322
2018-01-01,CapFormGov,16821
2018-04-01,CapFormGov,22233
2018-07-01,CapFormGov,24343
2018-10-01,CapFormGov,27485
2019-01-01,CapFormGov,17399
2019-04-01,CapFormGov,24163
2019-07-01,CapFormGov,25972
2019-10-01,CapFormGov,28103
2020-01-01,CapFormGov,19550
2020-04-01,CapFormGov,27288
2020-07-01,CapFormGov,27049
2020-10-01,CapFormGov,30686
2021-01-01,CapFormGov,19688
2021-04-01,CapFormGov,26017
2021-07-01,CapFormGov,27525
2021-10-01,CapFormGov,32890
2022-01-01,CapFormGov,20932
2022-04-01,CapFormGov,26706
2022-07-01,CapFormGov,30407
2022-10-01,CapFormGov,33600
2023-01-01,CapFormGov,22332
2023-04-01,CapFormGov,28800
2023-07-01,CapFormGov,31467
2023-10-01,CapFormGov,35882
2024-01-01,CapFormGov,23963
2024-04-01,CapFormGov,31051
2024-07-01,CapFormGov,32532
