time,na_item,values,geo
1999-01-01,CapFormGov,11022,NA
1999-04-01,CapFormGov,14306,NA
1999-07-01,CapFormGov,14933,NA
1999-10-01,CapFormGov,15968,NA
2000-01-01,CapFormGov,10888,NA
2000-04-01,CapFormGov,13806,NA
2000-07-01,CapFormGov,14719,NA
2000-10-01,CapFormGov,15983,NA
2001-01-01,CapFormGov,10931,NA
2001-04-01,CapFormGov,13934,NA
2001-07-01,CapFormGov,14659,NA
2001-10-01,CapFormGov,16075,NA
2002-01-01,CapFormGov,11857,NA
2002-04-01,CapFormGov,14709,NA
2002-07-01,CapFormGov,15641,NA
2002-10-01,CapFormGov,16054,NA
2003-01-01,CapFormGov,10443,NA
2003-04-01,CapFormGov,14644,NA
2003-07-01,CapFormGov,15455,NA
2003-10-01,CapFormGov,15802,NA
2004-01-01,CapFormGov,9982,NA
2004-04-01,CapFormGov,13200,NA
2004-07-01,CapFormGov,13967,NA
2004-10-01,CapFormGov,14223,NA
2005-01-01,CapFormGov,8925,NA
2005-04-01,CapFormGov,13300,NA
2005-07-01,CapFormGov,14493,NA
2005-10-01,CapFormGov,14626,NA
2006-01-01,CapFormGov,9460,NA
2006-04-01,CapFormGov,14520,NA
2006-07-01,CapFormGov,15320,NA
2006-10-01,CapFormGov,16758,NA
2007-01-01,CapFormGov,10984,NA
2007-04-01,CapFormGov,14189,NA
2007-07-01,CapFormGov,15349,NA
2007-10-01,CapFormGov,16279,NA
2008-01-01,CapFormGov,11552,NA
2008-04-01,CapFormGov,15683,NA
2008-07-01,CapFormGov,16509,NA
2008-10-01,CapFormGov,17640,NA
2009-01-01,CapFormGov,11740,NA
2009-04-01,CapFormGov,16381,NA
2009-07-01,CapFormGov,18054,NA
2009-10-01,CapFormGov,19521,NA
2010-01-01,CapFormGov,12445,NA
2010-04-01,CapFormGov,17562,NA
2010-07-01,CapFormGov,19001,NA
2010-10-01,CapFormGov,19486,NA
2011-01-01,CapFormGov,13627,NA
2011-04-01,CapFormGov,17723,NA
2011-07-01,CapFormGov,19158,NA
2011-10-01,CapFormGov,20017,NA
2012-01-01,CapFormGov,13399,NA
2012-04-01,CapFormGov,16870,NA
2012-07-01,CapFormGov,18488,NA
2012-10-01,CapFormGov,20280,NA
2013-01-01,CapFormGov,11626,NA
2013-04-01,CapFormGov,17729,NA
2013-07-01,CapFormGov,19311,NA
2013-10-01,CapFormGov,21159,NA
2014-01-01,CapFormGov,13231,NA
2014-04-01,CapFormGov,17491,NA
2014-07-01,CapFormGov,18859,NA
2014-10-01,CapFormGov,20546,NA
2015-01-01,CapFormGov,13144,NA
2015-04-01,CapFormGov,17797,NA
2015-07-01,CapFormGov,19521,NA
2015-10-01,CapFormGov,23178,NA
2016-01-01,CapFormGov,14939,NA
2016-04-01,CapFormGov,19338,NA
2016-07-01,CapFormGov,20647,NA
2016-10-01,CapFormGov,23160,NA
2017-01-01,CapFormGov,15194,NA
2017-04-01,CapFormGov,20930,NA
2017-07-01,CapFormGov,22387,NA
2017-10-01,CapFormGov,24322,NA
2018-01-01,CapFormGov,16821,NA
