time,values,geo,na_item
1996-01-01,75.46666666666667,DE,HICPlocal
1996-04-01,75.7,DE,HICPlocal
1996-07-01,75.93333333333334,DE,HICPlocal
1996-10-01,75.83333333333333,DE,HICPlocal
1997-01-01,76.66666666666667,DE,HICPlocal
1997-04-01,76.73333333333333,DE,HICPlocal
1997-07-01,77.13333333333334,DE,HICPlocal
1997-10-01,76.96666666666667,DE,HICPlocal
1998-01-01,77.1,DE,HICPlocal
1998-04-01,77.4,DE,HICPlocal
1998-07-01,77.63333333333334,DE,HICPlocal
1998-10-01,77.2,DE,HICPlocal
1999-01-01,77.33333333333333,DE,HICPlocal
1999-04-01,77.8,DE,HICPlocal
1999-07-01,78.13333333333334,DE,HICPlocal
1999-10-01,78.06666666666666,DE,HICPlocal
2000-01-01,78.56666666666666,DE,HICPlocal
2000-04-01,78.63333333333334,DE,HICPlocal
2000-07-01,79.13333333333334,DE,HICPlocal
2000-10-01,79.39999999999999,DE,HICPlocal
2001-01-01,79.83333333333333,DE,HICPlocal
2001-04-01,80.6,DE,HICPlocal
2001-07-01,80.73333333333333,DE,HICPlocal
2001-10-01,80.56666666666666,DE,HICPlocal
2002-01-01,81.33333333333333,DE,HICPlocal
2002-04-01,81.53333333333333,DE,HICPlocal
2002-07-01,81.63333333333333,DE,HICPlocal
2002-10-01,81.5,DE,HICPlocal
2003-01-01,82.3,DE,HICPlocal
2003-04-01,82.23333333333333,DE,HICPlocal
2003-07-01,82.46666666666667,DE,HICPlocal
2003-10-01,82.5,DE,HICPlocal
2004-01-01,83.13333333333334,DE,HICPlocal
2004-04-01,83.83333333333334,DE,HICPlocal
2004-07-01,84.13333333333333,DE,HICPlocal
2004-10-01,84.26666666666667,DE,HICPlocal
2005-01-01,84.6,DE,HICPlocal
2005-04-01,85.13333333333334,DE,HICPlocal
2005-07-01,85.93333333333334,DE,HICPlocal
2005-10-01,86.16666666666667,DE,HICPlocal
2006-01-01,86.33333333333333,DE,HICPlocal
2006-04-01,86.96666666666667,DE,HICPlocal
2006-07-01,87.3,DE,HICPlocal
2006-10-01,87.3,DE,HICPlocal
2007-01-01,87.93333333333334,DE,HICPlocal
2007-04-01,88.7,DE,HICPlocal
2007-07-01,89.23333333333333,DE,HICPlocal
2007-10-01,89.93333333333334,DE,HICPlocal
2008-01-01,90.63333333333333,DE,HICPlocal
2008-04-01,91.4,DE,HICPlocal
2008-07-01,92.1,DE,HICPlocal
2008-10-01,91.46666666666667,DE,HICPlocal
2009-01-01,91.36666666666666,DE,HICPlocal
2009-04-01,91.56666666666666,DE,HICPlocal
2009-07-01,91.76666666666667,DE,HICPlocal
2009-10-01,91.8,DE,HICPlocal
2010-01-01,92.06666666666666,DE,HICPlocal
2010-04-01,92.5,DE,HICPlocal
2010-07-01,92.8,DE,HICPlocal
2010-10-01,93.23333333333333,DE,HICPlocal
2011-01-01,94.1,DE,HICPlocal
2011-04-01,94.83333333333333,DE,HICPlocal
2011-07-01,95.23333333333333,DE,HICPlocal
2011-10-01,95.63333333333334,DE,HICPlocal
2012-01-01,96.36666666666667,DE,HICPlocal
2012-04-01,96.8,DE,HICPlocal
2012-07-01,97.26666666666667,DE,HICPlocal
2012-10-01,97.56666666666666,DE,HICPlocal
2013-01-01,98.13333333333334,DE,HICPlocal
2013-04-01,98.3,DE,HICPlocal
2013-07-01,98.9,DE,HICPlocal
2013-10-01,98.89999999999999,DE,HICPlocal
2014-01-01,99.06666666666666,DE,HICPlocal
2014-04-01,99.2,DE,HICPlocal
2014-07-01,99.66666666666667,DE,HICPlocal
2014-10-01,99.33333333333333,DE,HICPlocal
2015-01-01,98.93333333333334,DE,HICPlocal
2015-04-01,100.43333333333334,DE,HICPlocal
2015-07-01,100.73333333333333,DE,HICPlocal
2015-10-01,99.86666666666666,DE,HICPlocal
2016-01-01,99.06666666666666,DE,HICPlocal
2016-04-01,100.33333333333333,DE,HICPlocal
2016-07-01,101.13333333333333,DE,HICPlocal
2016-10-01,100.9,DE,HICPlocal
2017-01-01,100.83333333333333,DE,HICPlocal
2017-04-01,102,DE,HICPlocal
2017-07-01,102.96666666666667,DE,HICPlocal
2017-10-01,102.46666666666667,DE,HICPlocal
2018-01-01,102.3,DE,HICPlocal
2018-04-01,103.96666666666667,DE,HICPlocal
2018-07-01,105.23333333333333,DE,HICPlocal
2018-10-01,104.66666666666667,DE,HICPlocal
2019-01-01,103.9,DE,HICPlocal
2019-04-01,105.7,DE,HICPlocal
2019-07-01,106.3,DE,HICPlocal
2019-10-01,105.9,DE,HICPlocal
2020-01-01,105.53333333333333,DE,HICPlocal
2020-04-01,106.43333333333334,DE,HICPlocal
2020-07-01,106.13333333333334,DE,HICPlocal
2020-10-01,105.26666666666667,DE,HICPlocal
2021-01-01,107.36666666666667,DE,HICPlocal
2021-04-01,108.73333333333333,DE,HICPlocal
2021-07-01,109.86666666666666,DE,HICPlocal
2021-10-01,111,DE,HICPlocal
2022-01-01,113.89999999999999,DE,HICPlocal
2022-04-01,117.73333333333333,DE,HICPlocal
2022-07-01,120.2,DE,HICPlocal
2022-10-01,123,DE,HICPlocal
2023-01-01,123.83333333333333,DE,HICPlocal
2023-04-01,125.83333333333333,DE,HICPlocal
2023-07-01,127.10000000000001,DE,HICPlocal
2023-10-01,126.7,DE,HICPlocal
2024-01-01,127.2,DE,HICPlocal
2024-04-01,129.06666666666666,DE,HICPlocal
2024-07-01,129.83333333333334,DE,HICPlocal
2024-10-01,129.9,DE,HICPlocal
