time,na_item,values
1999-01-01,CapFormGov,981
1999-04-01,CapFormGov,1129
1999-07-01,CapFormGov,1183
1999-10-01,CapFormGov,1281
2000-01-01,CapFormGov,1182
2000-04-01,CapFormGov,1186
2000-07-01,CapFormGov,1215
2000-10-01,CapFormGov,1351
2001-01-01,CapFormGov,1285
2001-04-01,CapFormGov,1343
2001-07-01,CapFormGov,1381
2001-10-01,CapFormGov,1520
2002-01-01,CapFormGov,1234
2002-04-01,CapFormGov,1300
2002-07-01,CapFormGov,1267
2002-10-01,CapFormGov,1396
2003-01-01,CapFormGov,1230
2003-04-01,CapFormGov,1269
2003-07-01,CapFormGov,1267
2003-10-01,CapFormGov,1314
2004-01-01,CapFormGov,1292
2004-04-01,CapFormGov,1229
2004-07-01,CapFormGov,1411
2004-10-01,CapFormGov,1790
2005-01-01,CapFormGov,1273
2005-04-01,CapFormGov,1475
2005-07-01,CapFormGov,1471
2005-10-01,CapFormGov,1561
2006-01-01,CapFormGov,1462
2006-04-01,CapFormGov,1452
2006-07-01,CapFormGov,1633
2006-10-01,CapFormGov,2047
2007-01-01,CapFormGov,1575
2007-04-01,CapFormGov,1612
2007-07-01,CapFormGov,1920
2007-10-01,CapFormGov,1957
2008-01-01,CapFormGov,1568
2008-04-01,CapFormGov,1735
2008-07-01,CapFormGov,1926
2008-10-01,CapFormGov,1974
2009-01-01,CapFormGov,1800
2009-04-01,CapFormGov,1659
2009-07-01,CapFormGov,1776
2009-10-01,CapFormGov,1969
2010-01-01,CapFormGov,1858
2010-04-01,CapFormGov,1848
2010-07-01,CapFormGov,1963
2010-10-01,CapFormGov,2286
2011-01-01,CapFormGov,1685
2011-04-01,CapFormGov,1914
2011-07-01,CapFormGov,2034
2011-10-01,CapFormGov,2539
2012-01-01,CapFormGov,1957
2012-04-01,CapFormGov,2346
2012-07-01,CapFormGov,2392
2012-10-01,CapFormGov,2931
2013-01-01,CapFormGov,2024
2013-04-01,CapFormGov,2357
2013-07-01,CapFormGov,2477
2013-10-01,CapFormGov,2588
2014-01-01,CapFormGov,2120
2014-04-01,CapFormGov,2535
2014-07-01,CapFormGov,2605
2014-10-01,CapFormGov,2923
2015-01-01,CapFormGov,2097
2015-04-01,CapFormGov,2462
2015-07-01,CapFormGov,2438
2015-10-01,CapFormGov,2836
2016-01-01,CapFormGov,2232
2016-04-01,CapFormGov,2802
2016-07-01,CapFormGov,2798
2016-10-01,CapFormGov,2744
2017-01-01,CapFormGov,2065
2017-04-01,CapFormGov,2595
2017-07-01,CapFormGov,2398
2017-10-01,CapFormGov,2827
2018-01-01,CapFormGov,2002
2018-04-01,CapFormGov,2548
2018-07-01,CapFormGov,2524
2018-10-01,CapFormGov,3175
2019-01-01,CapFormGov,2136
2019-04-01,CapFormGov,2490
2019-07-01,CapFormGov,2649
2019-10-01,CapFormGov,2676
2020-01-01,CapFormGov,2182
2020-04-01,CapFormGov,2573
2020-07-01,CapFormGov,2666
2020-10-01,CapFormGov,3699
2021-01-01,CapFormGov,2255
2021-04-01,CapFormGov,2866
2021-07-01,CapFormGov,2375
2021-10-01,CapFormGov,3466
2022-01-01,CapFormGov,2206
2022-04-01,CapFormGov,2781
2022-07-01,CapFormGov,2817
2022-10-01,CapFormGov,3847
2023-01-01,CapFormGov,2429
2023-04-01,CapFormGov,2885
2023-07-01,CapFormGov,2968
2023-10-01,CapFormGov,3535
2024-01-01,CapFormGov,2481
2024-04-01,CapFormGov,3038
2024-07-01,CapFormGov,3125
