time,na_item,values,geo
1999-01-01,CapFormGov,981,NA
1999-04-01,CapFormGov,1129,NA
1999-07-01,CapFormGov,1183,NA
1999-10-01,CapFormGov,1281,NA
2000-01-01,CapFormGov,1182,NA
2000-04-01,CapFormGov,1186,NA
2000-07-01,CapFormGov,1215,NA
2000-10-01,CapFormGov,1351,NA
2001-01-01,CapFormGov,1285,NA
2001-04-01,CapFormGov,1343,NA
2001-07-01,CapFormGov,1381,NA
2001-10-01,CapFormGov,1520,NA
2002-01-01,CapFormGov,1234,NA
2002-04-01,CapFormGov,1300,NA
2002-07-01,CapFormGov,1267,NA
2002-10-01,CapFormGov,1396,NA
2003-01-01,CapFormGov,1230,NA
2003-04-01,CapFormGov,1269,NA
2003-07-01,CapFormGov,1267,NA
2003-10-01,CapFormGov,1314,NA
2004-01-01,CapFormGov,1292,NA
2004-04-01,CapFormGov,1229,NA
2004-07-01,CapFormGov,1411,NA
2004-10-01,CapFormGov,1790,NA
2005-01-01,CapFormGov,1273,NA
2005-04-01,CapFormGov,1475,NA
2005-07-01,CapFormGov,1471,NA
2005-10-01,CapFormGov,1561,NA
2006-01-01,CapFormGov,1462,NA
2006-04-01,CapFormGov,1452,NA
2006-07-01,CapFormGov,1633,NA
2006-10-01,CapFormGov,2047,NA
2007-01-01,CapFormGov,1575,NA
2007-04-01,CapFormGov,1612,NA
2007-07-01,CapFormGov,1920,NA
2007-10-01,CapFormGov,1957,NA
2008-01-01,CapFormGov,1568,NA
2008-04-01,CapFormGov,1735,NA
2008-07-01,CapFormGov,1926,NA
2008-10-01,CapFormGov,1974,NA
2009-01-01,CapFormGov,1800,NA
2009-04-01,CapFormGov,1659,NA
2009-07-01,CapFormGov,1776,NA
2009-10-01,CapFormGov,1969,NA
2010-01-01,CapFormGov,1858,NA
2010-04-01,CapFormGov,1848,NA
2010-07-01,CapFormGov,1963,NA
2010-10-01,CapFormGov,2286,NA
2011-01-01,CapFormGov,1685,NA
2011-04-01,CapFormGov,1914,NA
2011-07-01,CapFormGov,2034,NA
2011-10-01,CapFormGov,2539,NA
2012-01-01,CapFormGov,1957,NA
2012-04-01,CapFormGov,2346,NA
2012-07-01,CapFormGov,2392,NA
2012-10-01,CapFormGov,2931,NA
2013-01-01,CapFormGov,2024,NA
2013-04-01,CapFormGov,2357,NA
2013-07-01,CapFormGov,2477,NA
2013-10-01,CapFormGov,2588,NA
2014-01-01,CapFormGov,2120,NA
2014-04-01,CapFormGov,2535,NA
2014-07-01,CapFormGov,2605,NA
2014-10-01,CapFormGov,2923,NA
2015-01-01,CapFormGov,2097,NA
2015-04-01,CapFormGov,2462,NA
2015-07-01,CapFormGov,2438,NA
2015-10-01,CapFormGov,2836,NA
2016-01-01,CapFormGov,2232,NA
2016-04-01,CapFormGov,2802,NA
2016-07-01,CapFormGov,2798,NA
2016-10-01,CapFormGov,2744,NA
2017-01-01,CapFormGov,2065,NA
2017-04-01,CapFormGov,2595,NA
2017-07-01,CapFormGov,2398,NA
2017-10-01,CapFormGov,2827,NA
2018-01-01,CapFormGov,2002,NA
2018-04-01,CapFormGov,2548,NA
2018-07-01,CapFormGov,2524,NA
2018-10-01,CapFormGov,3175,NA
2019-01-01,CapFormGov,2136,NA
2019-04-01,CapFormGov,2490,NA
2019-07-01,CapFormGov,2649,NA
2019-10-01,CapFormGov,2676,NA
2020-01-01,CapFormGov,2182,NA
2020-04-01,CapFormGov,2573,NA
2020-07-01,CapFormGov,2666,NA
2020-10-01,CapFormGov,3699,NA
2021-01-01,CapFormGov,2255,NA
2021-04-01,CapFormGov,2866,NA
2021-07-01,CapFormGov,2375,NA
2021-10-01,CapFormGov,3466,NA
2022-01-01,CapFormGov,2206,NA
2022-04-01,CapFormGov,2781,NA
2022-07-01,CapFormGov,2817,NA
2022-10-01,CapFormGov,3847,NA
2023-01-01,CapFormGov,2429,NA
2023-04-01,CapFormGov,2885,NA
2023-07-01,CapFormGov,2968,NA
2023-10-01,CapFormGov,3535,NA
2024-01-01,CapFormGov,2481,NA
2024-04-01,CapFormGov,3038,NA
2024-07-01,CapFormGov,3125,NA
2005-01-01,PriceETS,12.2,DK
2005-04-01,PriceETS,18.11103448275862,DK
2005-07-01,PriceETS,23.16646153846154,DK
2005-10-01,PriceETS,21.779206349206348,DK
2006-01-01,PriceETS,25.507384615384616,DK
2006-04-01,PriceETS,18.444666666666667,DK
2006-07-01,PriceETS,15.661384615384616,DK
2006-10-01,PriceETS,9.423064516129031,DK
2007-01-01,PriceETS,2.0678125,DK
2007-04-01,PriceETS,0.38366666666666666,DK
2007-07-01,PriceETS,0.088,DK
2007-10-01,PriceETS,0.04836065573770492,DK
2008-01-01,PriceETS,1.7666129032258064,DK
2008-04-01,PriceETS,25.254603174603176,DK
