time,values,geo,na_item
1980-01-01,140.59769694010433,DK,PriceImports
1980-04-01,131.37476603190134,DK,PriceImports
1980-07-01,127.22829437255866,DK,PriceImports
1980-10-01,127.46935526529967,DK,PriceImports
1981-01-01,123.76147460937467,DK,PriceImports
1981-04-01,117.608050028483,DK,PriceImports
1981-07-01,112.344807942708,DK,PriceImports
1981-10-01,115.57392120361334,DK,PriceImports
1982-01-01,113.35183207194,DK,PriceImports
1982-04-01,113.86934916178366,DK,PriceImports
1982-07-01,112.50127919514966,DK,PriceImports
1982-10-01,112.446563720703,DK,PriceImports
1983-01-01,106.170570373535,DK,PriceImports
1983-04-01,108.26132710774733,DK,PriceImports
1983-07-01,110.062021891276,DK,PriceImports
1983-10-01,106.77461496988933,DK,PriceImports
1984-01-01,104.90364329020167,DK,PriceImports
1984-04-01,105.62402598063133,DK,PriceImports
1984-07-01,100.64952596028633,DK,PriceImports
1984-10-01,98.3683624267578,DK,PriceImports
1985-01-01,97.44735463460286,DK,PriceImports
1985-04-01,97.40887705485027,DK,PriceImports
1985-07-01,96.56698354085287,DK,PriceImports
1985-10-01,99.7990290323892,DK,PriceImports
1986-01-01,78.38736724853517,DK,PriceImports
1986-04-01,65.21457036336264,DK,PriceImports
1986-07-01,63.0222905476888,DK,PriceImports
1986-10-01,67.00987243652344,DK,PriceImports
1987-01-01,71.3854039510091,DK,PriceImports
1987-04-01,71.69140116373697,DK,PriceImports
1987-07-01,72.18741861979167,DK,PriceImports
1987-10-01,70.74976603190103,DK,PriceImports
1988-01-01,66.74554951985677,DK,PriceImports
1988-04-01,68.80426279703777,DK,PriceImports
1988-07-01,63.85272725423174,DK,PriceImports
1988-10-01,61.165157318115234,DK,PriceImports
1989-01-01,65.97962951660156,DK,PriceImports
1989-04-01,66.0959142049154,DK,PriceImports
1989-07-01,62.2206484476725,DK,PriceImports
1989-10-01,61.214680989583336,DK,PriceImports
1990-01-01,62.4604377746582,DK,PriceImports
1990-04-01,60.8106231689453,DK,PriceImports
1990-07-01,68.35225041707358,DK,PriceImports
1990-10-01,71.3041534423828,DK,PriceImports
1991-01-01,61.4620539347331,DK,PriceImports
1991-04-01,57.93228658040367,DK,PriceImports
1991-07-01,57.03746668497723,DK,PriceImports
1991-10-01,57.933244069417334,DK,PriceImports
1992-01-01,55.887613932291664,DK,PriceImports
1992-04-01,58.59164810180667,DK,PriceImports
1992-07-01,62.14244588216147,DK,PriceImports
1992-10-01,59.5599454243978,DK,PriceImports
1993-01-01,57.43618647257487,DK,PriceImports
1993-04-01,59.43194961547854,DK,PriceImports
1993-07-01,57.0742721557617,DK,PriceImports
1993-10-01,53.249516805013,DK,PriceImports
1994-01-01,53.32430267333983,DK,PriceImports
