time,na_item,values
1980-01-01,CapFormGov,-1
1980-04-01,CapFormGov,-1
1980-07-01,CapFormGov,0
1980-10-01,CapFormGov,0
1981-01-01,CapFormGov,0
1981-04-01,CapFormGov,0
1981-07-01,CapFormGov,1
1981-10-01,CapFormGov,0
1982-01-01,CapFormGov,0
1982-04-01,CapFormGov,0
1982-07-01,CapFormGov,0
1982-10-01,CapFormGov,-1
1983-01-01,CapFormGov,0
1983-04-01,CapFormGov,0
1983-07-01,CapFormGov,-1
1983-10-01,CapFormGov,1
1984-01-01,CapFormGov,0
1984-04-01,CapFormGov,-1
1984-07-01,CapFormGov,-1
1984-10-01,CapFormGov,1
1985-01-01,CapFormGov,-1
1985-04-01,CapFormGov,-1
1985-07-01,CapFormGov,0
1985-10-01,CapFormGov,1
1986-01-01,CapFormGov,0
1986-04-01,CapFormGov,0
1986-07-01,CapFormGov,-1
1986-10-01,CapFormGov,0
1987-01-01,CapFormGov,0
1987-04-01,CapFormGov,0
1987-07-01,CapFormGov,0
1987-10-01,CapFormGov,0
1988-01-01,CapFormGov,0
1988-04-01,CapFormGov,0
1988-07-01,CapFormGov,-1
1988-10-01,CapFormGov,0
1989-01-01,CapFormGov,0
1989-04-01,CapFormGov,0
1989-07-01,CapFormGov,0
1989-10-01,CapFormGov,0
1990-01-01,CapFormGov,1
1990-04-01,CapFormGov,-1
1990-07-01,CapFormGov,-1
1990-10-01,CapFormGov,-1
1991-01-01,CapFormGov,1
1991-04-01,CapFormGov,-1
1991-07-01,CapFormGov,1
1991-10-01,CapFormGov,0
1992-01-01,CapFormGov,0
1992-04-01,CapFormGov,-1
1992-07-01,CapFormGov,0
1992-10-01,CapFormGov,0
1993-01-01,CapFormGov,1
1993-04-01,CapFormGov,0
1993-07-01,CapFormGov,-1
1993-10-01,CapFormGov,0
1994-01-01,CapFormGov,0
1994-04-01,CapFormGov,0
1994-07-01,CapFormGov,0
1994-10-01,CapFormGov,-1
1995-01-01,CapFormGov,0
1995-04-01,CapFormGov,0
1995-07-01,CapFormGov,1
1995-10-01,CapFormGov,1
1996-01-01,CapFormGov,0
1996-04-01,CapFormGov,0
