time,na_item,values,geo
1980-01-01,CapFormGov,-1,NA
1980-04-01,CapFormGov,-1,NA
1980-07-01,CapFormGov,0,NA
1980-10-01,CapFormGov,0,NA
1981-01-01,CapFormGov,0,NA
1981-04-01,CapFormGov,0,NA
1981-07-01,CapFormGov,1,NA
1981-10-01,CapFormGov,0,NA
1982-01-01,CapFormGov,0,NA
1982-04-01,CapFormGov,0,NA
1982-07-01,CapFormGov,0,NA
1982-10-01,CapFormGov,-1,NA
1983-01-01,CapFormGov,0,NA
1983-04-01,CapFormGov,0,NA
1983-07-01,CapFormGov,-1,NA
1983-10-01,CapFormGov,1,NA
1984-01-01,CapFormGov,0,NA
1984-04-01,CapFormGov,-1,NA
1984-07-01,CapFormGov,-1,NA
1984-10-01,CapFormGov,1,NA
1985-01-01,CapFormGov,-1,NA
1985-04-01,CapFormGov,-1,NA
1985-07-01,CapFormGov,0,NA
1985-10-01,CapFormGov,1,NA
1986-01-01,CapFormGov,0,NA
1986-04-01,CapFormGov,0,NA
1986-07-01,CapFormGov,-1,NA
1986-10-01,CapFormGov,0,NA
1987-01-01,CapFormGov,0,NA
1987-04-01,CapFormGov,0,NA
1987-07-01,CapFormGov,0,NA
1987-10-01,CapFormGov,0,NA
1988-01-01,CapFormGov,0,NA
1988-04-01,CapFormGov,0,NA
1988-07-01,CapFormGov,-1,NA
1988-10-01,CapFormGov,0,NA
1989-01-01,CapFormGov,0,NA
1989-04-01,CapFormGov,0,NA
1989-07-01,CapFormGov,0,NA
1989-10-01,CapFormGov,0,NA
1990-01-01,CapFormGov,1,NA
1990-04-01,CapFormGov,-1,NA
1990-07-01,CapFormGov,-1,NA
1990-10-01,CapFormGov,-1,NA
1991-01-01,CapFormGov,1,NA
1991-04-01,CapFormGov,-1,NA
1991-07-01,CapFormGov,1,NA
1991-10-01,CapFormGov,0,NA
1992-01-01,CapFormGov,0,NA
1992-04-01,CapFormGov,-1,NA
1992-07-01,CapFormGov,0,NA
1992-10-01,CapFormGov,0,NA
1993-01-01,CapFormGov,1,NA
1993-04-01,CapFormGov,0,NA
1993-07-01,CapFormGov,-1,NA
1993-10-01,CapFormGov,0,NA
1994-01-01,CapFormGov,0,NA
1994-04-01,CapFormGov,0,NA
1994-07-01,CapFormGov,0,NA
1994-10-01,CapFormGov,-1,NA
1995-01-01,CapFormGov,0,NA
1995-04-01,CapFormGov,0,NA
1995-07-01,CapFormGov,1,NA
1995-10-01,CapFormGov,1,NA
1996-01-01,CapFormGov,0,NA
1996-04-01,CapFormGov,0,NA
1996-07-01,CapFormGov,0,NA
1996-10-01,CapFormGov,-1,NA
1997-01-01,CapFormGov,0,NA
1997-04-01,CapFormGov,0,NA
1997-07-01,CapFormGov,-1,NA
1997-10-01,CapFormGov,-1,NA
1998-01-01,CapFormGov,0,NA
1998-04-01,CapFormGov,0,NA
1998-07-01,CapFormGov,-1,NA
1998-10-01,CapFormGov,1,NA
1999-01-01,CapFormGov,0,NA
1999-04-01,CapFormGov,0,NA
1999-07-01,CapFormGov,-1,NA
1999-10-01,CapFormGov,-1,NA
2000-01-01,CapFormGov,-1,NA
2000-04-01,CapFormGov,0,NA
2000-07-01,CapFormGov,1,NA
2000-10-01,CapFormGov,-1,NA
2001-01-01,CapFormGov,0,NA
2001-04-01,CapFormGov,0,NA
2001-07-01,CapFormGov,0,NA
2001-10-01,CapFormGov,0,NA
2002-01-01,CapFormGov,0,NA
2002-04-01,CapFormGov,0,NA
2002-07-01,CapFormGov,0,NA
2002-10-01,CapFormGov,0,NA
2003-01-01,CapFormGov,0,NA
2003-04-01,CapFormGov,0,NA
2003-07-01,CapFormGov,1,NA
2003-10-01,CapFormGov,-1,NA
2004-01-01,CapFormGov,0,NA
2004-04-01,CapFormGov,0,NA
2004-07-01,CapFormGov,1,NA
2004-10-01,CapFormGov,0,NA
2005-01-01,CapFormGov,1,NA
2005-04-01,CapFormGov,-1,NA
2005-07-01,CapFormGov,0,NA
2005-10-01,CapFormGov,-1,NA
2006-01-01,CapFormGov,0,NA
2006-04-01,CapFormGov,1,NA
2006-07-01,CapFormGov,-1,NA
2006-10-01,CapFormGov,1,NA
2007-01-01,CapFormGov,-1,NA
2007-04-01,CapFormGov,0,NA
2007-07-01,CapFormGov,0,NA
2007-10-01,CapFormGov,0,NA
2008-01-01,CapFormGov,0,NA
2008-04-01,CapFormGov,0,NA
2008-07-01,CapFormGov,0,NA
2008-10-01,CapFormGov,0,NA
2009-01-01,CapFormGov,1,NA
2009-04-01,CapFormGov,0,NA
2009-07-01,CapFormGov,-1,NA
2009-10-01,CapFormGov,0,NA
2010-01-01,CapFormGov,0,NA
2010-04-01,CapFormGov,-2,NA
2010-07-01,CapFormGov,0,NA
2010-10-01,CapFormGov,0,NA
2011-01-01,CapFormGov,0,NA
2011-04-01,CapFormGov,0,NA
2011-07-01,CapFormGov,-1,NA
2011-10-01,CapFormGov,-1,NA
2012-01-01,CapFormGov,1,NA
2012-04-01,CapFormGov,-1,NA
2012-07-01,CapFormGov,0,NA
2012-10-01,CapFormGov,0,NA
2013-01-01,CapFormGov,-1,NA
2013-04-01,CapFormGov,0,NA
2013-07-01,CapFormGov,0,NA
2013-10-01,CapFormGov,0,NA
2014-01-01,CapFormGov,0,NA
2014-04-01,CapFormGov,0,NA
2014-07-01,CapFormGov,-1,NA
2014-10-01,CapFormGov,0,NA
2015-01-01,CapFormGov,-1,NA
2015-04-01,CapFormGov,-1,NA
2015-07-01,CapFormGov,0,NA
2015-10-01,CapFormGov,0,NA
2016-01-01,CapFormGov,-1,NA
2016-04-01,CapFormGov,1,NA
2016-07-01,CapFormGov,1,NA
2016-10-01,CapFormGov,0,NA
2017-01-01,CapFormGov,-1,NA
2017-04-01,CapFormGov,0,NA
2017-07-01,CapFormGov,-1,NA
2017-10-01,CapFormGov,0,NA
2018-01-01,CapFormGov,1,NA
2018-04-01,CapFormGov,-1,NA
2018-07-01,CapFormGov,0,NA
2018-10-01,CapFormGov,0,NA
2019-01-01,CapFormGov,0,NA
2019-04-01,CapFormGov,-1,NA
2019-07-01,CapFormGov,0,NA
2019-10-01,CapFormGov,-1,NA
2020-01-01,CapFormGov,0,NA
2020-04-01,CapFormGov,0,NA
2020-07-01,CapFormGov,0,NA
2020-10-01,CapFormGov,-1,NA
2021-01-01,CapFormGov,0,NA
2021-04-01,CapFormGov,0,NA
2021-07-01,CapFormGov,-1,NA
2021-10-01,CapFormGov,-1,NA
2022-01-01,CapFormGov,0,NA
2022-04-01,CapFormGov,0,NA
2022-07-01,CapFormGov,-1,NA
2022-10-01,CapFormGov,0,NA
2023-01-01,CapFormGov,0,NA
2023-04-01,CapFormGov,0,NA
2023-07-01,CapFormGov,0,NA
2023-10-01,CapFormGov,1,NA
2024-01-01,CapFormGov,-1,NA
2024-04-01,CapFormGov,0,NA
2005-01-01,PriceETS,12.2,FR
2005-04-01,PriceETS,18.11103448275862,FR
2005-07-01,PriceETS,23.16646153846154,FR
2005-10-01,PriceETS,21.779206349206348,FR
2006-01-01,PriceETS,25.507384615384616,FR
2006-04-01,PriceETS,18.444666666666667,FR
2006-07-01,PriceETS,15.661384615384616,FR
2006-10-01,PriceETS,9.423064516129031,FR
2007-01-01,PriceETS,2.0678125,FR
2007-04-01,PriceETS,0.38366666666666666,FR
2007-07-01,PriceETS,0.088,FR
2007-10-01,PriceETS,0.04836065573770492,FR
2008-01-01,PriceETS,1.7666129032258064,FR
2008-04-01,PriceETS,25.254603174603176,FR
2008-07-01,PriceETS,24.12272727272727,FR
2008-10-01,PriceETS,17.81639344262295,FR
2009-01-01,PriceETS,11.21968253968254,FR
2009-04-01,PriceETS,13.495333333333331,FR
2009-07-01,PriceETS,14.142424242424244,FR
2009-10-01,PriceETS,13.716666666666669,FR
2010-01-01,PriceETS,12.906825396825395,FR
2010-04-01,PriceETS,14.95967213114754,FR
2010-07-01,PriceETS,14.71560606060606,FR
2010-10-01,PriceETS,14.755625,FR
2011-01-01,PriceETS,14.898125,FR
2011-04-01,PriceETS,15.91672131147541,FR
2011-07-01,PriceETS,12.100757575757576,FR
2011-10-01,PriceETS,8.950793650793651,FR
2012-01-01,PriceETS,7.648,FR
2012-04-01,PriceETS,6.9046666666666665,FR
2012-07-01,PriceETS,7.572,FR
2012-10-01,PriceETS,7.368196721311476,FR
2013-01-01,PriceETS,4.660483870967742,FR
2013-04-01,PriceETS,3.870819672131147,FR
2013-07-01,PriceETS,4.6042424242424245,FR
2013-10-01,PriceETS,4.729508196721311,FR
2014-01-01,PriceETS,5.844285714285714,FR
2014-04-01,PriceETS,5.298064516129032,FR
2014-07-01,PriceETS,6.0643939393939394,FR
2014-10-01,PriceETS,6.583548387096775,FR
2015-01-01,PriceETS,7.005396825396826,FR
2015-04-01,PriceETS,7.340163934426229,FR
2015-07-01,PriceETS,7.966666666666667,FR
2015-10-01,PriceETS,8.391111111111112,FR
2016-01-01,PriceETS,5.612096774193549,FR
2016-04-01,PriceETS,5.751692307692307,FR
2016-07-01,PriceETS,4.547424242424243,FR
2016-10-01,PriceETS,5.51484375,FR
2017-01-01,PriceETS,5.155076923076923,FR
2017-04-01,PriceETS,4.805806451612903,FR
2017-07-01,PriceETS,5.893692307692308,FR
2017-10-01,PriceETS,7.462698412698413,FR
2018-01-01,PriceETS,9.766825396825396,FR
2018-04-01,PriceETS,14.473809523809525,FR
2018-07-01,PriceETS,18.809538461538462,FR
2018-10-01,PriceETS,20.205806451612904,FR
2019-01-01,PriceETS,22.09428571428571,FR
2019-04-01,PriceETS,25.45032258064516,FR
2019-07-01,PriceETS,26.901515151515152,FR
2019-10-01,PriceETS,24.82241935483871,FR
2020-01-01,PriceETS,22.745,FR
2020-04-01,PriceETS,21.239032258064515,FR
2020-07-01,PriceETS,27.35681818181818,FR
2020-10-01,PriceETS,27.5034375,FR
2021-01-01,PriceETS,37.56873015873016,FR
2021-04-01,PriceETS,50.21258064516129,FR
2021-07-01,PriceETS,57.05045454545454,FR
2021-10-01,PriceETS,68.62815384615385,FR
2022-01-01,PriceETS,82.820625,FR
2022-04-01,PriceETS,83.48730158730159,FR
2022-07-01,PriceETS,79.66227272727272,FR
2022-10-01,PriceETS,77.3909375,FR
2023-01-01,PriceETS,86.9043076923077,FR
2023-04-01,PriceETS,86.34016129032258,FR
2023-07-01,PriceETS,84.39292307692308,FR
2023-10-01,PriceETS,76.15269841269841,FR
2024-01-01,PriceETS,59.59952380952381,FR
2024-04-01,PriceETS,67.97015873015873,FR
2024-07-01,PriceETS,67.41784615384616,FR
2024-10-01,PriceETS,63.226,FR
1980-01-01,Factor,100,FR
1980-04-01,Factor,100,FR
1980-07-01,Factor,100,FR
1980-10-01,Factor,100,FR
1981-01-01,Factor,100,FR
1981-04-01,Factor,100,FR
1981-07-01,Factor,100,FR
1981-10-01,Factor,100,FR
1982-01-01,Factor,100,FR
1982-04-01,Factor,100,FR
1982-07-01,Factor,100,FR
1982-10-01,Factor,100,FR
1983-01-01,Factor,100,FR
1983-04-01,Factor,100,FR
1983-07-01,Factor,100,FR
1983-10-01,Factor,100,FR
1984-01-01,Factor,100,FR
1984-04-01,Factor,100,FR
1984-07-01,Factor,100,FR
1984-10-01,Factor,100,FR
1985-01-01,Factor,100,FR
1985-04-01,Factor,100,FR
1985-07-01,Factor,100,FR
1985-10-01,Factor,100,FR
1986-01-01,Factor,100,FR
1986-04-01,Factor,100,FR
1986-07-01,Factor,100,FR
1986-10-01,Factor,100,FR
1987-01-01,Factor,100,FR
1987-04-01,Factor,100,FR
1987-07-01,Factor,100,FR
1987-10-01,Factor,100,FR
1988-01-01,Factor,100,FR
1988-04-01,Factor,100,FR
1988-07-01,Factor,100,FR
1988-10-01,Factor,100,FR
1989-01-01,Factor,100,FR
1989-04-01,Factor,100,FR
1989-07-01,Factor,100,FR
1989-10-01,Factor,100,FR
1990-01-01,Factor,100,FR
1990-04-01,Factor,100,FR
1990-07-01,Factor,100,FR
1990-10-01,Factor,100,FR
1991-01-01,Factor,100,FR
1991-04-01,Factor,100,FR
1991-07-01,Factor,100,FR
1991-10-01,Factor,100,FR
1992-01-01,Factor,100,FR
1992-04-01,Factor,100,FR
1992-07-01,Factor,100,FR
1992-10-01,Factor,100,FR
1993-01-01,Factor,100,FR
1993-04-01,Factor,100,FR
1993-07-01,Factor,100,FR
1993-10-01,Factor,100,FR
1994-01-01,Factor,100,FR
1994-04-01,Factor,100,FR
1994-07-01,Factor,100,FR
1994-10-01,Factor,100,FR
1995-01-01,Factor,100,FR
1995-04-01,Factor,100,FR
1995-07-01,Factor,100,FR
1995-10-01,Factor,100,FR
1996-01-01,Factor,100,FR
1996-04-01,Factor,100,FR
1996-07-01,Factor,100,FR
1996-10-01,Factor,100,FR
1997-01-01,Factor,100,FR
1997-04-01,Factor,100,FR
1997-07-01,Factor,100,FR
1997-10-01,Factor,100,FR
1998-01-01,Factor,100,FR
1998-04-01,Factor,100,FR
1998-07-01,Factor,100,FR
1998-10-01,Factor,100,FR
1999-01-01,Factor,100,FR
1999-04-01,Factor,100,FR
1999-07-01,Factor,100,FR
1999-10-01,Factor,100,FR
2000-01-01,Factor,100,FR
2000-04-01,Factor,100,FR
2000-07-01,Factor,100,FR
2000-10-01,Factor,100,FR
2001-01-01,Factor,100,FR
2001-04-01,Factor,100,FR
2001-07-01,Factor,100,FR
2001-10-01,Factor,100,FR
2002-01-01,Factor,100,FR
2002-04-01,Factor,100,FR
2002-07-01,Factor,100,FR
2002-10-01,Factor,100,FR
2003-01-01,Factor,100,FR
2003-04-01,Factor,100,FR
2003-07-01,Factor,100,FR
2003-10-01,Factor,100,FR
2004-01-01,Factor,100,FR
2004-04-01,Factor,100,FR
2004-07-01,Factor,100,FR
2004-10-01,Factor,100,FR
2005-01-01,Factor,100,FR
2005-04-01,Factor,100,FR
2005-07-01,Factor,100,FR
2005-10-01,Factor,100,FR
2006-01-01,Factor,100,FR
2006-04-01,Factor,100,FR
2006-07-01,Factor,100,FR
2006-10-01,Factor,100,FR
2007-01-01,Factor,100,FR
2007-04-01,Factor,100,FR
2007-07-01,Factor,100,FR
2007-10-01,Factor,100,FR
2008-01-01,Factor,100,FR
2008-04-01,Factor,100,FR
2008-07-01,Factor,100,FR
2008-10-01,Factor,100,FR
2009-01-01,Factor,100,FR
2009-04-01,Factor,100,FR
2009-07-01,Factor,100,FR
2009-10-01,Factor,100,FR
2010-01-01,Factor,100,FR
2010-04-01,Factor,100,FR
2010-07-01,Factor,100,FR
2010-10-01,Factor,100,FR
2011-01-01,Factor,100,FR
2011-04-01,Factor,100,FR
2011-07-01,Factor,100,FR
2011-10-01,Factor,100,FR
2012-01-01,Factor,100,FR
2012-04-01,Factor,100,FR
2012-07-01,Factor,100,FR
2012-10-01,Factor,100,FR
2013-01-01,Factor,100,FR
2013-04-01,Factor,100,FR
2013-07-01,Factor,100,FR
2013-10-01,Factor,100,FR
2014-01-01,Factor,100,FR
2014-04-01,Factor,100,FR
2014-07-01,Factor,100,FR
2014-10-01,Factor,100,FR
2015-01-01,Factor,100,FR
2015-04-01,Factor,100,FR
2015-07-01,Factor,100,FR
2015-10-01,Factor,100,FR
2016-01-01,Factor,100,FR
2016-04-01,Factor,100,FR
2016-07-01,Factor,100,FR
2016-10-01,Factor,100,FR
2017-01-01,Factor,100,FR
2017-04-01,Factor,100,FR
2017-07-01,Factor,100,FR
2017-10-01,Factor,100,FR
2018-01-01,Factor,100,FR
2018-04-01,Factor,100,FR
2018-07-01,Factor,100,FR
2018-10-01,Factor,100,FR
2019-01-01,Factor,100,FR
2019-04-01,Factor,100,FR
2019-07-01,Factor,100,FR
2019-10-01,Factor,100,FR
2020-01-01,Factor,100,FR
2020-04-01,Factor,100,FR
2020-07-01,Factor,100,FR
2020-10-01,Factor,100,FR
