time,values,geo,na_item
1996-01-01,74.48333333333333,FR,HICPlocal
1996-04-01,75.09666666666666,FR,HICPlocal
1996-07-01,74.91333333333333,FR,HICPlocal
1996-10-01,75.23666666666666,FR,HICPlocal
1997-01-01,75.63333333333333,FR,HICPlocal
1997-04-01,75.82,FR,HICPlocal
1997-07-01,75.93333333333332,FR,HICPlocal
1997-10-01,76.14666666666666,FR,HICPlocal
1998-01-01,76.17,FR,HICPlocal
1998-04-01,76.58666666666667,FR,HICPlocal
1998-07-01,76.43333333333334,FR,HICPlocal
1998-10-01,76.39333333333333,FR,HICPlocal
1999-01-01,76.42666666666666,FR,HICPlocal
1999-04-01,76.91333333333333,FR,HICPlocal
1999-07-01,76.81666666666666,FR,HICPlocal
1999-10-01,77.17999999999999,FR,HICPlocal
2000-01-01,77.62666666666667,FR,HICPlocal
2000-04-01,78.09666666666666,FR,HICPlocal
2000-07-01,78.40333333333334,FR,HICPlocal
2000-10-01,78.78,FR,HICPlocal
2001-01-01,78.74333333333333,FR,HICPlocal
2001-04-01,79.84,FR,HICPlocal
2001-07-01,79.92333333333333,FR,HICPlocal
2001-10-01,79.97666666666667,FR,HICPlocal
2002-01-01,80.54,FR,HICPlocal
2002-04-01,81.19,FR,HICPlocal
2002-07-01,81.30333333333333,FR,HICPlocal
2002-10-01,81.62333333333333,FR,HICPlocal
2003-01-01,82.41,FR,HICPlocal
2003-04-01,82.74,FR,HICPlocal
2003-07-01,82.99,FR,HICPlocal
2003-10-01,83.56666666666666,FR,HICPlocal
2004-01-01,84.06,FR,HICPlocal
2004-04-01,84.90666666666667,FR,HICPlocal
2004-07-01,85.03666666666666,FR,HICPlocal
2004-10-01,85.45333333333333,FR,HICPlocal
2005-01-01,85.63666666666667,FR,HICPlocal
2005-04-01,86.44666666666667,FR,HICPlocal
2005-07-01,86.75666666666666,FR,HICPlocal
2005-10-01,87.03,FR,HICPlocal
2006-01-01,87.32333333333334,FR,HICPlocal
2006-04-01,88.33333333333333,FR,HICPlocal
2006-07-01,88.42333333333333,FR,HICPlocal
2006-10-01,88.33333333333333,FR,HICPlocal
2007-01-01,88.43333333333334,FR,HICPlocal
2007-04-01,89.44666666666667,FR,HICPlocal
2007-07-01,89.61666666666666,FR,HICPlocal
2007-10-01,90.56333333333333,FR,HICPlocal
2008-01-01,91.35666666666667,FR,HICPlocal
2008-04-01,92.74333333333334,FR,HICPlocal
2008-07-01,92.88000000000001,FR,HICPlocal
2008-10-01,92.39333333333333,FR,HICPlocal
2009-01-01,91.99,FR,HICPlocal
2009-04-01,92.52,FR,HICPlocal
2009-07-01,92.46,FR,HICPlocal
2009-10-01,92.78,FR,HICPlocal
2010-01-01,93.33333333333333,FR,HICPlocal
2010-04-01,94.22333333333333,FR,HICPlocal
2010-07-01,94.09666666666666,FR,HICPlocal
2010-10-01,94.52666666666667,FR,HICPlocal
2011-01-01,95.19,FR,HICPlocal
2011-04-01,96.31333333333333,FR,HICPlocal
2011-07-01,96.26666666666667,FR,HICPlocal
2011-10-01,97.03,FR,HICPlocal
2012-01-01,97.63666666666667,FR,HICPlocal
2012-04-01,98.54333333333334,FR,HICPlocal
2012-07-01,98.44,FR,HICPlocal
2012-10-01,98.71666666666667,FR,HICPlocal
2013-01-01,98.81666666666666,FR,HICPlocal
2013-04-01,99.43666666666667,FR,HICPlocal
2013-07-01,99.48666666666666,FR,HICPlocal
2013-10-01,99.49,FR,HICPlocal
2014-01-01,99.66666666666667,FR,HICPlocal
2014-04-01,100.18333333333334,FR,HICPlocal
2014-07-01,99.97666666666667,FR,HICPlocal
2014-10-01,99.83,FR,HICPlocal
2015-01-01,99.43,FR,HICPlocal
2015-04-01,100.45,FR,HICPlocal
2015-07-01,100.11666666666666,FR,HICPlocal
2015-10-01,100.00666666666666,FR,HICPlocal
2016-01-01,99.47333333333333,FR,HICPlocal
2016-04-01,100.54333333333334,FR,HICPlocal
2016-07-01,100.54333333333334,FR,HICPlocal
2016-10-01,100.66333333333334,FR,HICPlocal
2017-01-01,100.92333333333333,FR,HICPlocal
2017-04-01,101.58,FR,HICPlocal
2017-07-01,101.49666666666667,FR,HICPlocal
2017-10-01,101.88666666666667,FR,HICPlocal
2018-01-01,102.44333333333333,FR,HICPlocal
2018-04-01,103.76,FR,HICPlocal
2018-07-01,104.09,FR,HICPlocal
2018-10-01,104.11333333333333,FR,HICPlocal
2019-01-01,103.90333333333334,FR,HICPlocal
2019-04-01,105.11333333333333,FR,HICPlocal
2019-07-01,105.35333333333334,FR,HICPlocal
2019-10-01,105.41666666666667,FR,HICPlocal
2020-01-01,105.28333333333333,FR,HICPlocal
2020-04-01,105.46333333333332,FR,HICPlocal
2020-07-01,105.73333333333333,FR,HICPlocal
2020-10-01,105.50666666666666,FR,HICPlocal
2021-01-01,106.3,FR,HICPlocal
2021-04-01,107.32333333333332,FR,HICPlocal
2021-07-01,108.06,FR,HICPlocal
2021-10-01,109.02333333333334,FR,HICPlocal
2022-01-01,110.75333333333333,FR,HICPlocal
2022-04-01,113.67,FR,HICPlocal
2022-07-01,115.11,FR,HICPlocal
2022-10-01,116.61,FR,HICPlocal
2023-01-01,118.51,FR,HICPlocal
2023-04-01,120.57333333333332,FR,HICPlocal
2023-07-01,121.42333333333333,FR,HICPlocal
2023-10-01,121.47333333333333,FR,HICPlocal
2024-01-01,122.06666666666666,FR,HICPlocal
2024-04-01,123.59333333333333,FR,HICPlocal
2024-07-01,123.98333333333333,FR,HICPlocal
2024-10-01,123.50666666666667,FR,HICPlocal
