,"European Union Emissions Trading System",,,,," "
Date,"Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market","Secondary Market"," "
2005-03-09,1,1.320066667,EUR,,10.4," "
2005-03-10,1,1.320066667,EUR,,11.12," "
2005-03-15,1,1.320066667,EUR,,10.6," "
2005-03-16,1,1.320066667,EUR,,10.76," "
2005-03-18,1,1.320066667,EUR,,11.45," "
2005-03-21,1,1.320066667,EUR,,13.45," "
2005-03-22,1,1.320066667,EUR,,14.32," "
2005-03-29,1,1.320066667,EUR,,13.45," "
2005-03-31,1,1.320066667,EUR,,14.25," "
2005-04-01,1,1.293790476,EUR,,14.7," "
2005-04-04,1,1.293790476,EUR,,16.95," "
2005-04-05,1,1.293790476,EUR,,16.4," "
2005-04-06,1,1.293790476,EUR,,14.65," "
2005-04-07,1,1.293790476,EUR,,15.05," "
2005-04-08,1,1.293790476,EUR,,14.2," "
2005-04-11,1,1.293790476,EUR,,13.5," "
2005-04-12,1,1.293790476,EUR,,15.5," "
2005-04-13,1,1.293790476,EUR,,15.15," "
2005-04-14,1,1.293790476,EUR,,15.74," "
2005-04-15,1,1.293790476,EUR,,15.62," "
2005-04-18,1,1.293790476,EUR,,15.65," "
2005-04-19,1,1.293790476,EUR,,16.35," "
2005-04-20,1,1.293790476,EUR,,17.7," "
2005-04-21,1,1.293790476,EUR,,17.5," "
2005-04-22,1,1.293790476,EUR,,16.9," "
2005-04-25,1,1.293790476,EUR,,16.66," "
2005-04-26,1,1.293790476,EUR,,16.81," "
2005-04-27,1,1.293790476,EUR,,16.23," "
2005-04-28,1,1.293790476,EUR,,15.9," "
2005-04-29,1,1.293790476,EUR,,16," "
2005-05-02,1,1.269395455,EUR,,15.32," "
2005-05-03,1,1.269395455,EUR,,16," "
2005-05-04,1,1.269395455,EUR,,15.85," "
2005-05-06,1,1.269395455,EUR,,16.05," "
2005-05-10,1,1.269395455,EUR,,17.05," "
2005-05-11,1,1.269395455,EUR,,16.05," "
2005-05-12,1,1.269395455,EUR,,16," "
2005-05-13,1,1.269395455,EUR,,16," "
2005-05-17,1,1.269395455,EUR,,17.02," "
2005-05-18,1,1.269395455,EUR,,16.81," "
2005-05-19,1,1.269395455,EUR,,17.43," "
2005-05-20,1,1.269395455,EUR,,18.15," "
2005-05-23,1,1.269395455,EUR,,18.5," "
2005-05-26,1,1.269395455,EUR,,19.94," "
2005-05-27,1,1.269395455,EUR,,19.69," "
2005-05-30,1,1.269395455,EUR,,19.06," "
2005-05-31,1,1.269395455,EUR,,19.55," "
2005-06-01,1,1.216490909,EUR,,19.32," "
2005-06-06,1,1.216490909,EUR,,18.91," "
2005-06-07,1,1.216490909,EUR,,19.02," "
2005-06-08,1,1.216490909,EUR,,19.21," "
2005-06-09,1,1.216490909,EUR,,19.27," "
2005-06-10,1,1.216490909,EUR,,19.21," "
2005-06-13,1,1.216490909,EUR,,19.35," "
2005-06-14,1,1.216490909,EUR,,19.4," "
2005-06-15,1,1.216490909,EUR,,19.45," "
2005-06-16,1,1.216490909,EUR,,19.25," "
2005-06-17,1,1.216490909,EUR,,20.4," "
2005-06-20,1,1.216490909,EUR,,22," "
2005-06-21,1,1.216490909,EUR,,22.8," "
2005-06-22,1,1.216490909,EUR,,22.95," "
2005-06-23,1,1.216490909,EUR,,22.85," "
2005-06-24,1,1.216490909,EUR,,23.02," "
2005-06-27,1,1.216490909,EUR,,23.15," "
2005-06-28,1,1.216490909,EUR,,23.85," "
2005-06-29,1,1.216490909,EUR,,24.1," "
2005-06-30,1,1.216490909,EUR,,25.3," "
2005-07-01,1,1.203719048,EUR,,25.76," "
2005-07-04,1,1.203719048,EUR,,27.84," "
2005-07-05,1,1.203719048,EUR,,28.66," "
2005-07-06,1,1.203719048,EUR,,28.72," "
2005-07-07,1,1.203719048,EUR,,29.03," "
2005-07-08,1,1.203719048,EUR,,28.81," "
