y,const,trend,,ly1,ly2,ly3,ly4,ly5,ly6,ly7,ly8,ly9,ly10,ly11,ly12
1960-01-01,1.6948,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-02-01,1.69972,1,2,1.6948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-03-01,1.69201,1,3,1.69972,1.6948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-04-01,1.85952,1,4,1.69201,1.69972,1.6948,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-05-01,1.91108,1,5,1.85952,1.69201,1.69972,1.6948,NA,NA,NA,NA,NA,NA,NA,NA
1960-06-01,1.66328,1,6,1.91108,1.85952,1.69201,1.69972,1.6948,NA,NA,NA,NA,NA,NA,NA
1960-07-01,1.63367,1,7,1.66328,1.91108,1.85952,1.69201,1.69972,1.6948,NA,NA,NA,NA,NA,NA
1960-08-01,1.65742,1,8,1.63367,1.66328,1.91108,1.85952,1.69201,1.69972,1.6948,NA,NA,NA,NA,NA
1960-09-01,1.45135,1,9,1.65742,1.63367,1.66328,1.91108,1.85952,1.69201,1.69972,1.6948,NA,NA,NA,NA
1960-10-01,1.3245,1,10,1.45135,1.65742,1.63367,1.66328,1.91108,1.85952,1.69201,1.69972,1.6948,NA,NA,NA
1960-11-01,1.60265,1,11,1.3245,1.45135,1.65742,1.63367,1.66328,1.91108,1.85952,1.69201,1.69972,1.6948,NA,NA
1960-12-01,1.50356,1,12,1.60265,1.3245,1.45135,1.65742,1.63367,1.66328,1.91108,1.85952,1.69201,1.69972,1.6948,NA
1961-01-01,1.58226,1,13,1.50356,1.60265,1.3245,1.45135,1.65742,1.63367,1.66328,1.91108,1.85952,1.69201,1.69972,1.6948
1961-02-01,1.56766,1,14,1.58226,1.50356,1.60265,1.3245,1.45135,1.65742,1.63367,1.66328,1.91108,1.85952,1.69201,1.69972
1961-03-01,1.45021,1,15,1.56766,1.58226,1.50356,1.60265,1.3245,1.45135,1.65742,1.63367,1.66328,1.91108,1.85952,1.69201
1961-04-01,1.02567,1,16,1.45021,1.56766,1.58226,1.50356,1.60265,1.3245,1.45135,1.65742,1.63367,1.66328,1.91108,1.85952
1961-05-01,0.97951,1,17,1.02567,1.45021,1.56766,1.58226,1.50356,1.60265,1.3245,1.45135,1.65742,1.63367,1.66328,1.91108
1961-06-01,0.97907,1,18,0.97951,1.02567,1.45021,1.56766,1.58226,1.50356,1.60265,1.3245,1.45135,1.65742,1.63367,1.66328
1961-07-01,1.01588,1,19,0.97907,0.97951,1.02567,1.45021,1.56766,1.58226,1.50356,1.60265,1.3245,1.45135,1.65742,1.63367
1961-08-01,0.93074,1,20,1.01588,0.97907,0.97951,1.02567,1.45021,1.56766,1.58226,1.50356,1.60265,1.3245,1.45135,1.65742
1961-09-01,0.98794,1,21,0.93074,1.01588,0.97907,0.97951,1.02567,1.45021,1.56766,1.58226,1.50356,1.60265,1.3245,1.45135
1961-10-01,0.86505,1,22,0.98794,0.93074,1.01588,0.97907,0.97951,1.02567,1.45021,1.56766,1.58226,1.50356,1.60265,1.3245
1961-11-01,0.53005,1,23,0.86505,0.98794,0.93074,1.01588,0.97907,0.97951,1.02567,1.45021,1.56766,1.58226,1.50356,1.60265
